文件	段号	段内偏移	编码	字符串
stage02.stg	189	0x4	big5	鐵礦場
stage02.stg	219	0x4	big5	木材場
stage02.stg	248	0x4	big5	中工廠
stage02.stg	282	0xB	ascii	]j/5
stage02.stg	298	0x2	big5	耐急企業
stage02.stg	299	0x4	big5	大工廠
stage02.stg	327	0xB	ascii	_9_ 
stage02.stg	331	0xB	ascii	_rBX
stage02.stg	336	0xB	ascii	_|6U
stage02.stg	351	0xB	ascii	`p_U
stage02.stg	359	0xB	ascii	bS5=
stage02.stg	408	0x4	big5	中工廠
stage02.stg	424	0xB	ascii	\)<2
stage02.stg	468	0x4	big5	煤碳場
stage02.stg	489	0x4	big5	化物場
stage02.stg	508	0x2	big5	風力富企業
stage02.stg	509	0x4	big5	合併廠
stage02.stg	561	0xB	ascii	`ymD
stage02.stg	566	0xB	ascii	`y-I
stage02.stg	595	0xB	ascii	cDKU
stage02.stg	598	0xB	ascii	c~NU
stage02.stg	599	0xB	ascii	dYxN
stage02.stg	606	0xB	ascii	c@99
stage02.stg	670	0x4	big5	中工廠
stage02.stg	726	0x4	big5	鋁礦場
stage02.stg	735	0xB	ascii	0x<!
stage02.stg	738	0xB	ascii	0x8,
stage02.stg	740	0xB	ascii	0xn%
stage02.stg	743	0xB	ascii	0x{.
stage02.stg	747	0x2	big5	七十一企業
stage02.stg	748	0x4	big5	中商場
stage02.stg	809	0x4	big5	大商場
stage02.stg	936	0x2	big5	微硬公司
stage02.stg	937	0x2	big5	敗耳企業
stage02.stg	938	0x2	big5	大牧場企業
stage02.stg	939	0x2	big5	農產公司
stage02.stg	940	0x2	big5	資源產業
stage02.stg	941	0x2	big5	木造實業
stage02.stg	942	0x2	big5	文房企業
stage02.stg	943	0x2	big5	全電子企業
stage02.stg	944	0x2	big5	小家電公司
stage02.stg	945	0x2	big5	大矽谷產業
stage02.stg	946	0x2	big5	陶藝企業
stage02.stg	947	0x2	big5	書香企業
stage02.stg	948	0x2	big5	有巢氏實業
stage02.stg	949	0x2	big5	精工企業
stage02.stg	950	0x2	big5	加樂福企業
stage03.stg	0	0xC	ascii	Map15
stage03.stg	1	0x2	big5	創業王企業
stage03.stg	2	0x4	big5	合併廠
stage03.stg	126	0xB	ascii	M-I!
stage03.stg	259	0x2	big5	單菱商社
stage03.stg	260	0x4	big5	合併廠
stage03.stg	310	0xB	ascii	^sZ+
stage03.stg	313	0xB	ascii	^ot*
stage03.stg	359	0x4	big5	鐵礦場
stage03.stg	386	0x4	big5	砂土場
stage03.stg	413	0x4	big5	木材場
stage03.stg	440	0x2	big5	耐急企業
stage03.stg	441	0x2	big5	風力富企業
stage03.stg	442	0x4	big5	合併廠
stage03.stg	457	0xB	ascii	d$n"
stage03.stg	460	0xB	ascii	dyd%
stage03.stg	462	0xB	ascii	d$f$
stage03.stg	464	0xB	ascii	d$t#
stage03.stg	468	0xB	ascii	d$y$
stage03.stg	469	0xB	ascii	d$t#
stage03.stg	471	0xB	ascii	d$(%
stage03.stg	472	0xB	ascii	d$y$
stage03.stg	473	0xB	ascii	d$y$
stage03.stg	476	0xB	ascii	d$y$
stage03.stg	553	0x2	big5	七十一企業
stage03.stg	554	0x4	big5	中商場
stage03.stg	559	0x4	big5	中商場
stage03.stg	564	0x4	big5	中商場
stage03.stg	626	0x2	big5	微硬公司
stage03.stg	627	0x2	big5	敗耳企業
stage03.stg	628	0x2	big5	大牧場企業
stage03.stg	629	0x4	big5	中工廠
stage03.stg	662	0x4	big5	木材場
stage03.stg	679	0x2	big5	農產公司
stage03.stg	680	0x2	big5	資源產業
stage03.stg	681	0x4	big5	小商場
stage03.stg	694	0x4	big5	小工廠
stage03.stg	726	0x2	big5	木造實業
stage03.stg	727	0x4	big5	鐵礦場
stage03.stg	744	0x4	big5	砂土場
stage03.stg	771	0x4	big5	大工廠
stage03.stg	802	0x2	big5	文房企業
stage03.stg	803	0x4	big5	中工廠
stage03.stg	835	0x4	big5	木材場
stage03.stg	858	0x4	big5	砂土場
stage03.stg	875	0x4	big5	小商場
stage03.stg	888	0x4	big5	小工廠
stage03.stg	917	0x4	big5	煤碳場
stage03.stg	946	0x4	big5	油礦場
stage03.stg	975	0x2	big5	全電子企業
stage03.stg	976	0x4	big5	小商場
stage03.stg	978	0x4	big5	木材場
stage03.stg	995	0x4	big5	大工廠
stage03.stg	1019	0x4	big5	鐵礦場
stage03.stg	1041	0x4	big5	煤碳場
stage03.stg	1056	0x4	big5	砂土場
stage03.stg	1079	0x4	big5	矽礦場
stage03.stg	1096	0x2	big5	小家電公司
stage03.stg	1097	0x4	big5	小工廠
stage03.stg	1129	0x4	big5	鐵礦場
stage03.stg	1150	0x2	big5	大矽谷產業
stage03.stg	1151	0x2	big5	陶藝企業
stage03.stg	1152	0x4	big5	木材場
stage03.stg	1154	0x4	big5	中工廠
stage03.stg	1156	0x2	big5	書香企業
stage03.stg	1157	0x2	big5	有巢氏實業
stage03.stg	1158	0x4	big5	小工廠
stage03.stg	1186	0x4	big5	小工廠
stage03.stg	1212	0x4	big5	小工廠
stage03.stg	1244	0x4	big5	鐵礦場
stage03.stg	1261	0x4	big5	煤碳場
stage03.stg	1278	0x4	big5	砂土場
stage03.stg	1295	0x4	big5	木材場
stage03.stg	1312	0x2	big5	精工企業
stage03.stg	1313	0x4	big5	鐵礦場
stage03.stg	1330	0x4	big5	砂土場
stage03.stg	1346	0x4	big5	中工廠
stage03.stg	1379	0x4	big5	木材場
stage03.stg	1396	0x2	big5	加樂福企業
stage03.stg	1397	0x4	big5	中工廠
stage03.stg	1425	0x4	big5	小工廠
stage03.stg	1449	0x4	big5	化物場
stage04.stg	0	0xC	ascii	Map03
stage04.stg	1	0x2	big5	創業王企業
stage04.stg	2	0x2	big5	單菱商社
stage04.stg	3	0x4	big5	矽礦場
stage04.stg	94	0x4	big5	小商場
stage04.stg	119	0x4	big5	煤碳場
stage04.stg	146	0x4	big5	煤碳場
stage04.stg	170	0x4	big5	煤碳場
stage04.stg	194	0x4	big5	煤碳場
stage04.stg	236	0x4	big5	煤碳場
stage04.stg	272	0x4	big5	煤碳場
stage04.stg	300	0x4	big5	煤碳場
stage04.stg	325	0x4	big5	木材場
stage04.stg	343	0x2	big5	耐急企業
stage04.stg	344	0x2	big5	風力富企業
stage04.stg	345	0x2	big5	七十一企業
stage04.stg	346	0x2	big5	微硬公司
stage04.stg	347	0x2	big5	敗耳企業
stage04.stg	348	0x2	big5	大牧場企業
stage04.stg	349	0x4	big5	鐵礦場
stage04.stg	372	0x4	big5	大工廠
stage04.stg	405	0x4	big5	鐵礦場
stage04.stg	423	0x4	big5	砂土場
stage04.stg	442	0x2	big5	農產公司
stage04.stg	443	0x4	big5	砂土場
stage04.stg	471	0x4	big5	鐵礦場
stage04.stg	494	0x4	big5	中工廠
stage04.stg	527	0x4	big5	油礦場
stage04.stg	534	0xB	ascii	5rT\t
stage04.stg	544	0x2	big5	資源產業
stage04.stg	545	0x4	big5	砂土場
stage04.stg	562	0x4	big5	鐵礦場
stage04.stg	584	0x4	big5	小工廠
stage04.stg	613	0x2	big5	木造實業
stage04.stg	614	0x4	big5	化物場
stage04.stg	637	0x4	big5	砂土場
stage04.stg	660	0x4	big5	鐵礦場
stage04.stg	677	0x4	big5	中工廠
stage04.stg	710	0x4	big5	鐵礦場
stage04.stg	731	0x4	big5	砂土場
stage04.stg	752	0x2	big5	文房企業
stage04.stg	753	0x4	big5	鐵礦場
stage04.stg	753	0x0	ascii	0021
stage04.stg	782	0x4	big5	小工廠
stage04.stg	814	0x4	big5	砂土場
stage04.stg	814	0x0	ascii	0019
stage04.stg	831	0x4	big5	小商場
stage04.stg	831	0x0	ascii	0018
stage04.stg	846	0x4	big5	大工廠
stage04.stg	846	0x0	ascii	0017
stage04.stg	872	0xB	ascii	Qk)@
stage04.stg	893	0x4	big5	砂土場
stage04.stg	893	0x0	ascii	0016
stage04.stg	914	0x4	big5	化物場
stage04.stg	914	0x0	ascii	0015
stage04.stg	937	0x2	big5	全電子企業
stage04.stg	938	0x4	big5	砂土場
stage04.stg	955	0x4	big5	鐵礦場
stage04.stg	972	0x4	big5	砂土場
stage04.stg	990	0x4	big5	大工廠
stage04.stg	1023	0x4	big5	鐵礦場
stage04.stg	1046	0x2	big5	小家電公司
stage04.stg	1047	0x4	big5	中工廠
stage04.stg	1075	0x4	big5	鐵礦場
stage04.stg	1092	0x4	big5	砂土場
stage04.stg	1122	0x4	big5	中工廠
stage04.stg	1155	0x4	big5	鐵礦場
stage04.stg	1183	0x4	big5	砂土場
stage04.stg	1205	0x2	big5	大矽谷產業
stage04.stg	1206	0x4	big5	油礦場
stage04.stg	1211	0xB	ascii	Gr(\t
stage04.stg	1214	0xB	ascii	Gr(\t
stage04.stg	1217	0xB	ascii	Gr(\t
stage04.stg	1218	0xB	ascii	Gr(\t
stage04.stg	1226	0xB	ascii	Gr(\t
stage04.stg	1229	0x4	big5	砂土場
stage04.stg	1246	0x4	big5	鐵礦場
stage04.stg	1263	0x4	big5	大工廠
stage04.stg	1296	0x4	big5	小工廠
stage04.stg	1328	0x4	big5	小工廠
stage04.stg	1360	0x2	big5	陶藝企業
stage04.stg	1361	0x4	big5	鐵礦場
stage04.stg	1378	0x4	big5	小工廠
stage04.stg	1411	0x4	big5	砂土場
stage04.stg	1442	0x4	big5	中工廠
stage04.stg	1494	0x2	big5	書香企業
stage04.stg	1495	0x4	big5	鐵礦場
stage04.stg	1518	0x4	big5	砂土場
stage04.stg	1543	0x4	big5	鐵礦場
stage04.stg	1566	0x4	big5	小工廠
stage04.stg	1599	0x2	big5	有巢氏實業
stage04.stg	1600	0x4	big5	小工廠
stage04.stg	1631	0x4	big5	鐵礦場
stage04.stg	1655	0x4	big5	砂土場
stage04.stg	1672	0x2	big5	精工企業
stage04.stg	1673	0x4	big5	油礦場
stage04.stg	1673	0x0	ascii	0012
stage04.stg	1690	0x4	big5	化物場
stage04.stg	1713	0x4	big5	鐵礦場
stage04.stg	1730	0x4	big5	砂土場
stage04.stg	1748	0x4	big5	中工廠
stage04.stg	1781	0x2	big5	加樂福企業
stage04.stg	1782	0x4	big5	鐵礦場
stage04.stg	1811	0x4	big5	小工廠
stage04.stg	1839	0x4	big5	化物場
stage04.stg	1862	0x4	big5	鐵礦場
stage04.stg	1882	0x4	big5	小工廠
stage04.stg	2530	0xA	ascii	`tH~
stage04.stg	2534	0xA	ascii	]U|(
stage04.stg	2536	0xA	ascii	[HxO
stage05.stg	0	0xC	ascii	Map14
stage05.stg	1	0x2	big5	創業王企業
stage05.stg	2	0x4	big5	中工廠
stage05.stg	4	0x2	big5	單菱商社
stage05.stg	5	0x4	big5	合併廠
stage05.stg	10	0x12	ascii	DOaR
stage05.stg	11	0x12	ascii	DOaR
stage05.stg	12	0x10	ascii	\t\tDO
stage05.stg	13	0x10	ascii	\t\tDO
stage05.stg	154	0x2	big5	耐急企業
stage05.stg	155	0x2	big5	風力富企業
stage05.stg	156	0x4	big5	大工廠
stage05.stg	180	0xB	ascii	T,#?
stage05.stg	188	0xB	ascii	S4mT
stage05.stg	196	0xB	ascii	ShDH
stage05.stg	203	0xB	ascii	Sx8D
stage05.stg	266	0x4	big5	中農場
stage05.stg	272	0x12	ascii	DOBr
stage05.stg	331	0x2	big5	七十一企業
stage05.stg	332	0x4	big5	小商場
stage05.stg	364	0x4	big5	小商場
stage05.stg	396	0x4	big5	小商場
stage05.stg	428	0x4	big5	小商場
stage05.stg	460	0x2	big5	微硬公司
stage05.stg	461	0x2	big5	敗耳企業
stage05.stg	462	0x2	big5	大牧場企業
stage05.stg	463	0x2	big5	農產公司
stage05.stg	464	0x2	big5	資源產業
stage05.stg	465	0x2	big5	木造實業
stage05.stg	466	0x2	big5	文房企業
stage05.stg	467	0x2	big5	全電子企業
stage05.stg	468	0x2	big5	小家電公司
stage05.stg	469	0x2	big5	大矽谷產業
stage05.stg	470	0x2	big5	陶藝企業
stage05.stg	471	0x2	big5	書香企業
stage05.stg	472	0x2	big5	有巢氏實業
stage05.stg	473	0x2	big5	精工企業
stage05.stg	474	0x2	big5	加樂福企業
stage06.stg	0	0xC	ascii	Map17
stage06.stg	1	0x2	big5	創業王企業
stage06.stg	2	0x4	big5	中商場
stage06.stg	72	0x2	big5	單菱商社
stage06.stg	73	0x4	big5	合併廠
stage06.stg	409	0x4	big5	合併廠
stage06.stg	436	0xB	ascii	M1C4
stage06.stg	552	0x4	big5	砂土場
stage06.stg	609	0x4	big5	木材場
stage06.stg	672	0x4	big5	鐵礦場
stage06.stg	737	0x4	big5	大工廠
stage06.stg	752	0xB	ascii	TM)7
stage06.stg	754	0xB	ascii	TM&3
stage06.stg	811	0x2	big5	耐急企業
stage06.stg	812	0x2	big5	風力富企業
stage06.stg	813	0x4	big5	合併廠
stage06.stg	1151	0x2	big5	七十一企業
stage06.stg	1152	0x4	big5	中商場
stage06.stg	1221	0x2	big5	微硬公司
stage06.stg	1222	0x2	big5	敗耳企業
stage06.stg	1223	0x2	big5	大牧場企業
stage06.stg	1224	0x4	big5	化物場
stage06.stg	1224	0x0	ascii	0028
stage06.stg	1253	0x4	big5	小工廠
stage06.stg	1253	0x0	ascii	0027
stage06.stg	1285	0x4	big5	鋁礦場
stage06.stg	1285	0x0	ascii	0026
stage06.stg	1302	0x4	big5	中商場
stage06.stg	1302	0x0	ascii	0025
stage06.stg	1356	0x4	big5	小工廠
stage06.stg	1356	0x0	ascii	0024
stage06.stg	1380	0x4	big5	小工廠
stage06.stg	1380	0x0	ascii	0023
stage06.stg	1406	0x4	big5	木材場
stage06.stg	1421	0x4	big5	砂土場
stage06.stg	1421	0x0	ascii	0021
stage06.stg	1444	0x4	big5	中工廠
stage06.stg	1496	0x4	big5	小農場
stage06.stg	1496	0x0	ascii	0019
stage06.stg	1520	0x4	big5	砂土場
stage06.stg	1520	0x0	ascii	0018
stage06.stg	1537	0x4	big5	鐵礦場
stage06.stg	1537	0x0	ascii	0017
stage06.stg	1554	0x4	big5	小商場
stage06.stg	1554	0x0	ascii	0016
stage06.stg	1578	0x4	big5	小工廠
stage06.stg	1578	0x0	ascii	0015
stage06.stg	1611	0x4	big5	小工廠
stage06.stg	1611	0x0	ascii	0014
stage06.stg	1635	0x4	big5	木材場
stage06.stg	1635	0x0	ascii	0013
stage06.stg	1658	0x2	big5	農產公司
stage06.stg	1659	0x4	big5	油礦場
stage06.stg	1659	0x0	ascii	0027
stage06.stg	1682	0x4	big5	中工廠
stage06.stg	1682	0x0	ascii	0026
stage06.stg	1705	0x4	big5	中農場
stage06.stg	1705	0x0	ascii	0025
stage06.stg	1728	0x4	big5	矽礦場
stage06.stg	1728	0x0	ascii	0024
stage06.stg	1745	0x4	big5	小工廠
stage06.stg	1745	0x0	ascii	0023
stage06.stg	1775	0x4	big5	大工廠
stage06.stg	1809	0x4	big5	中工廠
stage06.stg	1809	0x0	ascii	0021
stage06.stg	1857	0x4	big5	小工廠
stage06.stg	1881	0x4	big5	木材場
stage06.stg	1881	0x0	ascii	0019
stage06.stg	1910	0x4	big5	小工廠
stage06.stg	1910	0x0	ascii	0018
stage06.stg	1942	0x4	big5	中農場
stage06.stg	1942	0x0	ascii	0017
stage06.stg	1966	0x4	big5	鐵礦場
stage06.stg	1966	0x0	ascii	0016
stage06.stg	1983	0x4	big5	砂土場
stage06.stg	1983	0x0	ascii	0015
stage06.stg	2000	0x4	big5	小商場
stage06.stg	2000	0x0	ascii	0014
stage06.stg	2025	0x4	big5	小工廠
stage06.stg	2025	0x0	ascii	0013
stage06.stg	2051	0x4	big5	小工廠
stage06.stg	2051	0x0	ascii	0012
stage06.stg	2078	0xB	ascii	R^<!
stage06.stg	2083	0x2	big5	資源產業
stage06.stg	2084	0x4	big5	砂土場
stage06.stg	2084	0x0	ascii	0025
stage06.stg	2113	0x4	big5	中農場
stage06.stg	2113	0x0	ascii	0024
stage06.stg	2137	0x4	big5	中工廠
stage06.stg	2137	0x0	ascii	0023
stage06.stg	2143	0xB	ascii	WyuD
stage06.stg	2153	0xB	ascii	Wy?G
stage06.stg	2161	0x4	big5	小工廠
stage06.stg	2186	0x4	big5	中工廠
stage06.stg	2186	0x0	ascii	0021
stage06.stg	2219	0x4	big5	中工廠
stage06.stg	2253	0x4	big5	合併廠
stage06.stg	2253	0x0	ascii	0019
stage06.stg	2289	0xB	ascii	Yc10
stage06.stg	2297	0x4	big5	小農場
stage06.stg	2297	0x0	ascii	0018
stage06.stg	2307	0xB	ascii	]P; 
stage06.stg	2321	0x4	big5	砂土場
stage06.stg	2321	0x0	ascii	0017
stage06.stg	2345	0x4	big5	鐵礦場
stage06.stg	2345	0x0	ascii	0016
stage06.stg	2368	0x4	big5	小商場
stage06.stg	2368	0x0	ascii	0015
stage06.stg	2392	0x4	big5	小工廠
stage06.stg	2392	0x0	ascii	0013
stage06.stg	2416	0x2	big5	木造實業
stage06.stg	2417	0x4	big5	砂土場
stage06.stg	2417	0x0	ascii	0025
stage06.stg	2440	0x4	big5	大商場
stage06.stg	2440	0x0	ascii	0024
stage06.stg	2454	0x4	big5	小商場
stage06.stg	2454	0x0	ascii	0023
stage06.stg	2488	0x4	big5	小商場
stage06.stg	2513	0x4	big5	大工廠
stage06.stg	2513	0x0	ascii	0021
stage06.stg	2566	0x4	big5	鐵礦場
stage06.stg	2583	0x4	big5	中工廠
stage06.stg	2583	0x0	ascii	0019
stage06.stg	2637	0x4	big5	小農場
stage06.stg	2637	0x0	ascii	0018
stage06.stg	2666	0x4	big5	小工廠
stage06.stg	2666	0x0	ascii	0017
stage06.stg	2694	0x4	big5	煤碳場
stage06.stg	2694	0x0	ascii	0016
stage06.stg	2710	0x4	big5	砂土場
stage06.stg	2710	0x0	ascii	0015
stage06.stg	2728	0x2	big5	文房企業
stage06.stg	2729	0x4	big5	合併廠
stage06.stg	2763	0x4	big5	小工廠
stage06.stg	2787	0x4	big5	大工廠
stage06.stg	2787	0x0	ascii	0019
stage06.stg	2820	0x4	big5	小工廠
stage06.stg	2820	0x0	ascii	0018
stage06.stg	2844	0x4	big5	木材場
stage06.stg	2844	0x0	ascii	0017
stage06.stg	2859	0x4	big5	矽礦場
stage06.stg	2859	0x0	ascii	0016
stage06.stg	2878	0x4	big5	鐵礦場
stage06.stg	2878	0x0	ascii	0015
stage06.stg	2895	0x4	big5	小農場
stage06.stg	2895	0x0	ascii	0014
stage06.stg	2919	0x4	big5	砂土場
stage06.stg	2919	0x0	ascii	0013
stage06.stg	2923	0xB	ascii	7!!\t
stage06.stg	2936	0x4	big5	中商場
stage06.stg	2936	0x0	ascii	0012
stage06.stg	2981	0x4	big5	小工廠
stage06.stg	3012	0x4	big5	小工廠
stage06.stg	3030	0xB	ascii	M@/:
stage06.stg	3033	0xB	ascii	M\td8
stage06.stg	3040	0x2	big5	全電子企業
stage06.stg	3041	0x4	big5	小農場
stage06.stg	3041	0x0	ascii	0035
stage06.stg	3065	0x4	big5	小工廠
stage06.stg	3065	0x0	ascii	0034
stage06.stg	3094	0x4	big5	小工廠
stage06.stg	3123	0x4	big5	大工廠
stage06.stg	3123	0x0	ascii	0032
stage06.stg	3175	0x4	big5	煤碳場
stage06.stg	3175	0x0	ascii	0031
stage06.stg	3192	0x4	big5	小工廠
stage06.stg	3216	0x4	big5	砂土場
stage06.stg	3216	0x0	ascii	0029
stage06.stg	3233	0x4	big5	大商場
stage06.stg	3233	0x0	ascii	0028
stage06.stg	3247	0x4	big5	中農場
stage06.stg	3247	0x0	ascii	0027
stage06.stg	3291	0x4	big5	小工廠
stage06.stg	3291	0x0	ascii	0026
stage06.stg	3315	0x4	big5	大商場
stage06.stg	3315	0x0	ascii	0025
stage06.stg	3432	0x4	big5	鐵礦場
stage06.stg	3432	0x0	ascii	0024
stage06.stg	3461	0x4	big5	中商場
stage06.stg	3461	0x0	ascii	0023
stage06.stg	3507	0x4	big5	中工廠
stage06.stg	3562	0x2	big5	小家電公司
stage06.stg	3563	0x4	big5	小商場
stage06.stg	3563	0x0	ascii	0023
stage06.stg	3577	0x4	big5	小農場
stage06.stg	3601	0x4	big5	砂土場
stage06.stg	3601	0x0	ascii	0021
stage06.stg	3607	0xB	ascii	9!N\t
stage06.stg	3630	0x4	big5	中工廠
stage06.stg	3644	0xB	ascii	_;j%
stage06.stg	3654	0x4	big5	鐵礦場
stage06.stg	3654	0x0	ascii	0019
stage06.stg	3677	0x4	big5	大工廠
stage06.stg	3677	0x0	ascii	0018
stage06.stg	3730	0x4	big5	中工廠
stage06.stg	3730	0x0	ascii	0017
stage06.stg	3754	0x4	big5	小工廠
stage06.stg	3754	0x0	ascii	0016
stage06.stg	3781	0x4	big5	小工廠
stage06.stg	3781	0x0	ascii	0015
stage06.stg	3807	0x4	big5	小工廠
stage06.stg	3807	0x0	ascii	0014
stage06.stg	3833	0x2	big5	大矽谷產業
stage06.stg	3834	0x4	big5	煤碳場
stage06.stg	3834	0x0	ascii	0019
stage06.stg	3851	0x4	big5	小工廠
stage06.stg	3851	0x0	ascii	0018
stage06.stg	3880	0x4	big5	小工廠
stage06.stg	3880	0x0	ascii	0017
stage06.stg	3912	0x4	big5	木材場
stage06.stg	3912	0x0	ascii	0016
stage06.stg	3929	0x4	big5	小農場
stage06.stg	3929	0x0	ascii	0015
stage06.stg	3953	0x4	big5	中工廠
stage06.stg	3953	0x0	ascii	0014
stage06.stg	3997	0x4	big5	鐵礦場
stage06.stg	3997	0x0	ascii	0013
stage06.stg	4014	0x4	big5	小工廠
stage06.stg	4014	0x0	ascii	0012
stage06.stg	4041	0x4	big5	砂土場
stage06.stg	4058	0x4	big5	小農場
stage06.stg	4064	0xB	ascii	T}.a
stage06.stg	4066	0xB	ascii	SoH_
stage06.stg	4082	0x4	big5	中工廠
stage06.stg	4109	0xB	ascii	Z2"$
stage06.stg	4115	0xB	ascii	Z~|%
stage06.stg	4124	0xB	ascii	Z~|%
stage06.stg	4135	0x2	big5	陶藝企業
stage06.stg	4136	0x4	big5	小農場
stage06.stg	4136	0x0	ascii	0034
stage06.stg	4160	0x4	big5	小工廠
stage06.stg	4193	0x4	big5	大工廠
stage06.stg	4193	0x0	ascii	0032
stage06.stg	4211	0xB	ascii	S20c
stage06.stg	4224	0x4	big5	大工廠
stage06.stg	4224	0x0	ascii	0031
stage06.stg	4257	0x4	big5	小工廠
stage06.stg	4289	0x4	big5	中工廠
stage06.stg	4289	0x0	ascii	0029
stage06.stg	4351	0x4	big5	小商場
stage06.stg	4351	0x0	ascii	0028
stage06.stg	4366	0x4	big5	小工廠
stage06.stg	4366	0x0	ascii	0027
stage06.stg	4393	0x4	big5	木材場
stage06.stg	4393	0x0	ascii	0026
stage06.stg	4410	0x4	big5	大商場
stage06.stg	4410	0x0	ascii	0025
stage06.stg	4434	0x4	big5	小商場
stage06.stg	4434	0x0	ascii	0024
stage06.stg	4457	0x4	big5	大工廠
stage06.stg	4457	0x0	ascii	0023
stage06.stg	4550	0xB	ascii	Q&x%
stage06.stg	4557	0x4	big5	矽礦場
stage06.stg	4564	0xB	ascii	Z#!\t
stage06.stg	4565	0xB	ascii	Z# \t
stage06.stg	4576	0x4	big5	鐵礦場
stage06.stg	4576	0x0	ascii	0021
stage06.stg	4593	0x4	big5	砂土場
stage06.stg	4610	0x4	big5	煤碳場
stage06.stg	4610	0x0	ascii	0019
stage06.stg	4634	0x4	big5	油礦場
stage06.stg	4634	0x0	ascii	0018
stage06.stg	4663	0x4	big5	化物場
stage06.stg	4663	0x0	ascii	0017
stage06.stg	4680	0x2	big5	書香企業
stage06.stg	4681	0x4	big5	煤碳場
stage06.stg	4681	0x0	ascii	0023
stage06.stg	4704	0x4	big5	小工廠
stage06.stg	4732	0x4	big5	小工廠
stage06.stg	4732	0x0	ascii	0021
stage06.stg	4762	0x4	big5	中工廠
stage06.stg	4804	0xB	ascii	]avJ
stage06.stg	4806	0xB	ascii	]a]G
stage06.stg	4814	0x4	big5	小工廠
stage06.stg	4814	0x0	ascii	0019
stage06.stg	4846	0x4	big5	小農場
stage06.stg	4846	0x0	ascii	0018
stage06.stg	4870	0x4	big5	小商場
stage06.stg	4870	0x0	ascii	0017
stage06.stg	4894	0x4	big5	砂土場
stage06.stg	4894	0x0	ascii	0016
stage06.stg	4919	0x4	big5	大農場
stage06.stg	4919	0x0	ascii	0015
stage06.stg	4962	0x4	big5	鐵礦場
stage06.stg	4962	0x0	ascii	0014
stage06.stg	4985	0x4	big5	大商場
stage06.stg	4985	0x0	ascii	0013
stage06.stg	5009	0x4	big5	中工廠
stage06.stg	5009	0x0	ascii	0012
stage06.stg	5036	0xB	ascii	L+K-
stage06.stg	5045	0xB	ascii	Nm~%
stage06.stg	5063	0x2	big5	有巢氏實業
stage06.stg	5064	0x4	big5	中工廠
stage06.stg	5066	0x4	big5	大工廠
stage06.stg	5066	0x0	ascii	0032
stage06.stg	5068	0x4	big5	小工廠
stage06.stg	5068	0x0	ascii	0031
