文件	行号	内容
BuildingFirm.h	36	SHOW_GLASS_NEED,
BuildingFirm.h	37	SHOW_STEEL_NEED,
BuildingFirm.h	38	UNUSE_OBJ457,
BuildingFirm.h	39	SHOW_WOOD_PRICE,
BuildingFirm.h	40	UNUSE_OBJ253,
BuildingFirm.h	41	UNUSE_OBJ254,
BuildingFirm.h	42	UNUSE_OBJ255,
BuildingFirm.h	43	UNUSE_OBJ256,
BuildingFirm.h	44	UNUSE_OBJ257,
BuildingFirm.h	45	UNUSE_OBJ258,
BuildingFirm.h	46	SHOW_DIRT_PRICE,
BuildingFirm.h	47	SHOW_IRON_PRICE,
BuildingFirm.h	48	SHOW_BRICK_PRICE,
BuildingFirm.h	49	SHOW_CONCRETE_PRICE,
BuildingFirm.h	50	SHOW_GLASS_PRICE,
BuildingFirm.h	51	SHOW_STEEL_PRICE,
BuildingFirm.h	52	UNUSE_OBJ64,
BuildingFirm.h	53	SHOW_TOTALPRICE,
BuildingFirm.h	54	UNUSE_OBJ264,
BuildingFirm.h	55	SHOW_STATUS,
BuildingFirm.h	56	UNUSE_OBJ364,
BuildingFirm.h	57	BTN_TITLEBAR,
BuildingFirm.h	58	SHOW_NAME_BUILDING,
BuildingFirm.h	59	GREENBAR
BuildingFirm.h	60	};
BuyLandConfirm.h	1	enum {
BuyLandConfirm.h	2	BTN_YES,
BuyLandConfirm.h	3	BTN_NO,
BuyLandConfirm.h	4	UNUSE_OBJ3
BuyLandConfirm.h	5	};
CompanyInfo.h	1	enum {
CompanyInfo.h	2	SHOW_NAME_COMPANY,
CompanyInfo.h	3	SHOW_VALUE,
CompanyInfo.h	4	SHOW_GROW,
CompanyInfo.h	5	WORKER_SUM,
CompanyInfo.h	6	FACTORY_SUM,
CompanyInfo.h	7	UNUSE_OBJ6,
CompanyInfo.h	8	UNUSE_OBJ7,
CompanyInfo.h	9	UNUSE_OBJ8,
CompanyInfo.h	10	UNUSE_OBJ9,
CompanyInfo.h	11	UNUSE_OBJ11,
CompanyInfo.h	12	UNUSE_OBJ14,
CompanyInfo.h	13	NEXT_LAND,
CompanyInfo.h	14	PREV_LAND,
CompanyInfo.h	15	NEXT_PLR
CompanyInfo.h	16	};
Dorm-1.h	1	enum {
Dorm-1.h	2	BTN_YES,
Dorm-1.h	3	BTN_NO,
Dorm-1.h	4	UNUSE_OBJ3
Dorm-1.h	5	};
Dorm.h	1	enum {
Dorm.h	2	UNUSE_OBJ3,
Dorm.h	3	SHOW_PRICE,
Dorm.h	4	UNUSE_OBJ5,
Dorm.h	5	BTN_TITLEBAR,
Dorm.h	6	SHOW_NAME
Dorm.h	7	};
EnemyFirmInfo.h	1	enum {
EnemyFirmInfo.h	2	BTN_REPORT,
EnemyFirmInfo.h	3	UNUSE_OBJ2,
EnemyFirmInfo.h	4	SHOW_PROFIT_1,
EnemyFirmInfo.h	5	UNUSE_OBJ4,
EnemyFirmInfo.h	6	UNUSE_OBJ5,
EnemyFirmInfo.h	7	SHOW_PROFIT_2,
EnemyFirmInfo.h	8	UNUSE_OBJ7,
EnemyFirmInfo.h	9	SHOW_WORKER,
EnemyFirmInfo.h	10	UNUSE_OBJ9,
EnemyFirmInfo.h	11	BTN_TITLEBAR,
EnemyFirmInfo.h	12	SHOW_NAME_BUILDING
EnemyFirmInfo.h	13	};
ExitButton.h	1	enum {
ExitButton.h	2	BTN_EXIT,
ExitButton.h	3	BTN_DOWN,
ExitButton.h	4	BTN_UP,
ExitButton.h	5	UNUSE_OBJ4,
ExitButton.h	6	WAITING_TRUCK
ExitButton.h	7	};
FirmBoard.h	1	enum {
FirmBoard.h	2	BTN_REMOVE,
FirmBoard.h	3	UNUSE_OBJ3,
FirmBoard.h	4	UNUSE_OBJ4,
FirmBoard.h	5	UNUSE_OBJ5,
FirmBoard.h	6	UNUSE_OBJ6,
FirmBoard.h	7	SHOW_ITEM,
FirmBoard.h	8	SHOW_QUALITY,
FirmBoard.h	9	SHOW_QUANTITY,
FirmBoard.h	10	SHOW_COST,
FirmBoard.h	11	BTN_TITLEBAR,
FirmBoard.h	12	SHOW_NAME,
FirmBoard.h	13	UNUSE_OBJ12,
FirmBoard.h	14	OWNERDRAW1,
FirmBoard.h	15	TRADE_1,
FirmBoard.h	16	TRADE_2,
FirmBoard.h	17	TRADE_3,
FirmBoard.h	18	TRADE_4,
FirmBoard.h	19	TRADE_5,
FirmBoard.h	20	UNUSE_OBJ19,
FirmBoard.h	21	WAITING_GOODS,
FirmBoard.h	22	UNUSE_OBJ21,
FirmBoard.h	23	COMMING_GOODS,
FirmBoard.h	24	UNUSE_OBJ23,
FirmBoard.h	25	SHOW_DROP
FirmBoard.h	26	};
FirmDorm.h	1	enum {
FirmDorm.h	2	BTN_REMOVE,
FirmDorm.h	3	BTN_TITLEBAR,
FirmDorm.h	4	SHOW_NAME,
FirmDorm.h	5	UNUSE_OBJ4,
FirmDorm.h	6	SHOW_DORM_NUM,
FirmDorm.h	7	UNUSE_OBJ6,
FirmDorm.h	8	SHOW_USER_NUM_NOW,
FirmDorm.h	9	UNUSE_OBJ8,
FirmDorm.h	10	SHOW_USER_NUM_TOTAL
FirmDorm.h	11	};
FirmLoadArea-1.h	1	enum {
FirmLoadArea-1.h	2	BTN_BG_1,
FirmLoadArea-1.h	3	BTN_BG_2,
FirmLoadArea-1.h	4	BTN_BG_3,
FirmLoadArea-1.h	5	BTN_BG_4,
FirmLoadArea-1.h	6	BTN_BG_5,
FirmLoadArea-1.h	7	BTN_BG_6,
FirmLoadArea-1.h	8	BTN_BG_7,
FirmLoadArea-1.h	9	BTN_BG_8,
FirmLoadArea-1.h	10	BTN_BG_9,
FirmLoadArea-1.h	11	BTN_BG_10,
FirmLoadArea-1.h	12	BTN_BG_11,
FirmLoadArea-1.h	13	BTN_BG_12,
FirmLoadArea-1.h	14	BTN_BG_13,
FirmLoadArea-1.h	15	BTN_BG_14,
FirmLoadArea-1.h	16	BTN_BG_15,
FirmLoadArea-1.h	17	BTN_BOARD_1,
FirmLoadArea-1.h	18	BTN_BOARD_2,
FirmLoadArea-1.h	19	BTN_BOARD_3,
FirmLoadArea-1.h	20	BTN_BOARD_4,
FirmLoadArea-1.h	21	BTN_BOARD_5,
FirmLoadArea-1.h	22	BTN_BOARD_6,
FirmLoadArea-1.h	23	BTN_BOARD_7,
FirmLoadArea-1.h	24	BTN_BOARD_8,
FirmLoadArea-1.h	25	BTN_BOARD_9,
FirmLoadArea-1.h	26	BTN_BOARD_10,
FirmLoadArea-1.h	27	UNUSE_OBJ1,
FirmLoadArea-1.h	28	BTN_EXIT,
FirmLoadArea-1.h	29	UNUSE_OBJ3,
FirmLoadArea-1.h	30	UNUSE_OBJ4,
FirmLoadArea-1.h	31	UNUSE_OBJ5,
FirmLoadArea-1.h	32	SCBAR_LOADAREA,
FirmLoadArea-1.h	33	BTN_ITEM_ADD_1,
FirmLoadArea-1.h	34	BTN_ITEM_ADD_2,
FirmLoadArea-1.h	35	BTN_ITEM_ADD_3,
FirmLoadArea-1.h	36	BTN_ITEM_ADD_4,
FirmLoadArea-1.h	37	BTN_ITEM_ADD_5,
FirmLoadArea-1.h	38	BTN_ITEM_ADD_6,
FirmLoadArea-1.h	39	BTN_ITEM_ADD_7,
FirmLoadArea-1.h	40	BTN_ITEM_ADD_8,
FirmLoadArea-1.h	41	BTN_ITEM_ADD_9,
FirmLoadArea-1.h	42	BTN_ITEM_ADD_10,
FirmLoadArea-1.h	43	BTN_ITEM_CLEAR_1,
FirmLoadArea-1.h	44	BTN_ITEM_CLEAR_2,
FirmLoadArea-1.h	45	BTN_ITEM_CLEAR_3,
FirmLoadArea-1.h	46	BTN_ITEM_CLEAR_4,
FirmLoadArea-1.h	47	BTN_ITEM_CLEAR_5,
FirmLoadArea-1.h	48	BTN_ITEM_CLEAR_6,
FirmLoadArea-1.h	49	BTN_ITEM_CLEAR_7,
FirmLoadArea-1.h	50	BTN_ITEM_CLEAR_8,
FirmLoadArea-1.h	51	BTN_ITEM_CLEAR_9,
FirmLoadArea-1.h	52	BTN_ITEM_CLEAR_10,
FirmLoadArea-1.h	53	SHOW_BUY_POLICY_1,
FirmLoadArea-1.h	54	SHOW_BUY_POLICY_2,
FirmLoadArea-1.h	55	SHOW_BUY_POLICY_3,
FirmLoadArea-1.h	56	SHOW_BUY_POLICY_4,
FirmLoadArea-1.h	57	SHOW_BUY_POLICY_5,
FirmLoadArea-1.h	58	SHOW_BUY_POLICY_6,
FirmLoadArea-1.h	59	SHOW_BUY_POLICY_7,
FirmLoadArea-1.h	60	SHOW_BUY_POLICY_8,
FirmLoadArea-1.h	61	SHOW_BUY_POLICY_9,
FirmLoadArea-1.h	62	SHOW_BUY_POLICY_10,
FirmLoadArea-1.h	63	SHOW_WORD_P_1,
FirmLoadArea-1.h	64	SHOW_WORD_P_2,
FirmLoadArea-1.h	65	SHOW_WORD_P_3,
FirmLoadArea-1.h	66	SHOW_WORD_P_4,
FirmLoadArea-1.h	67	SHOW_WORD_P_5,
FirmLoadArea-1.h	68	SHOW_WORD_P_6,
FirmLoadArea-1.h	69	SHOW_WORD_P_7,
FirmLoadArea-1.h	70	SHOW_WORD_P_8,
FirmLoadArea-1.h	71	SHOW_WORD_P_9,
FirmLoadArea-1.h	72	SHOW_WORD_P_10,
FirmLoadArea-1.h	73	SHOW_WORD_Q_1,
FirmLoadArea-1.h	74	SHOW_WORD_Q_2,
FirmLoadArea-1.h	75	SHOW_WORD_Q_3,
FirmLoadArea-1.h	76	SHOW_WORD_Q_4,
FirmLoadArea-1.h	77	SHOW_WORD_Q_5,
FirmLoadArea-1.h	78	SHOW_WORD_Q_6,
FirmLoadArea-1.h	79	SHOW_WORD_Q_7,
FirmLoadArea-1.h	80	SHOW_WORD_Q_8,
FirmLoadArea-1.h	81	SHOW_WORD_Q_9,
FirmLoadArea-1.h	82	SHOW_WORD_Q_10,
FirmLoadArea-1.h	83	SHOW_SELL_POLICY_1,
FirmLoadArea-1.h	84	SHOW_SELL_POLICY_2,
FirmLoadArea-1.h	85	SHOW_SELL_POLICY_3,
FirmLoadArea-1.h	86	SHOW_SELL_POLICY_4,
FirmLoadArea-1.h	87	SHOW_SELL_POLICY_5,
FirmLoadArea-1.h	88	SHOW_SELL_POLICY_6,
FirmLoadArea-1.h	89	SHOW_SELL_POLICY_7,
FirmLoadArea-1.h	90	SHOW_SELL_POLICY_8,
FirmLoadArea-1.h	91	SHOW_SELL_POLICY_9,
FirmLoadArea-1.h	92	SHOW_SELL_POLICY_10,
FirmLoadArea-1.h	93	BTN_BUY_ARROW_1,
FirmLoadArea-1.h	94	BTN_BUY_ARROW_2,
FirmLoadArea-1.h	95	BTN_BUY_ARROW_3,
FirmLoadArea-1.h	96	BTN_BUY_ARROW_4,
FirmLoadArea-1.h	97	BTN_BUY_ARROW_5,
FirmLoadArea-1.h	98	BTN_BUY_ARROW_6,
FirmLoadArea-1.h	99	BTN_BUY_ARROW_7,
FirmLoadArea-1.h	100	BTN_BUY_ARROW_8,
FirmLoadArea-1.h	101	BTN_BUY_ARROW_9,
FirmLoadArea-1.h	102	BTN_BUY_ARROW_10,
FirmLoadArea-1.h	103	BTN_STOCK_MINUS_1,
FirmLoadArea-1.h	104	BTN_STOCK_MINUS_2,
FirmLoadArea-1.h	105	BTN_STOCK_MINUS_3,
FirmLoadArea-1.h	106	BTN_STOCK_MINUS_4,
FirmLoadArea-1.h	107	BTN_STOCK_MINUS_5,
FirmLoadArea-1.h	108	BTN_STOCK_MINUS_6,
FirmLoadArea-1.h	109	BTN_STOCK_MINUS_7,
FirmLoadArea-1.h	110	BTN_STOCK_MINUS_8,
FirmLoadArea-1.h	111	BTN_STOCK_MINUS_9,
FirmLoadArea-1.h	112	BTN_STOCK_MINUS_10,
FirmLoadArea-1.h	113	BTN_STOCK_ADD_1,
FirmLoadArea-1.h	114	BTN_STOCK_ADD_2,
FirmLoadArea-1.h	115	BTN_STOCK_ADD_3,
FirmLoadArea-1.h	116	BTN_STOCK_ADD_4,
FirmLoadArea-1.h	117	BTN_STOCK_ADD_5,
FirmLoadArea-1.h	118	BTN_STOCK_ADD_6,
FirmLoadArea-1.h	119	BTN_STOCK_ADD_7,
FirmLoadArea-1.h	120	BTN_STOCK_ADD_8,
FirmLoadArea-1.h	121	BTN_STOCK_ADD_9,
FirmLoadArea-1.h	122	BTN_STOCK_ADD_10,
FirmLoadArea-1.h	123	SHOW_STOCK_1,
FirmLoadArea-1.h	124	SHOW_STOCK_2,
FirmLoadArea-1.h	125	SHOW_STOCK_3,
FirmLoadArea-1.h	126	SHOW_STOCK_4,
FirmLoadArea-1.h	127	SHOW_STOCK_5,
FirmLoadArea-1.h	128	SHOW_STOCK_6,
FirmLoadArea-1.h	129	SHOW_STOCK_7,
FirmLoadArea-1.h	130	SHOW_STOCK_8,
FirmLoadArea-1.h	131	SHOW_STOCK_9,
FirmLoadArea-1.h	132	SHOW_STOCK_10,
FirmLoadArea-1.h	133	BTN_SELL_ARROW_1,
FirmLoadArea-1.h	134	BTN_SELL_ARROW_2,
FirmLoadArea-1.h	135	BTN_SELL_ARROW_3,
FirmLoadArea-1.h	136	BTN_SELL_ARROW_4,
FirmLoadArea-1.h	137	BTN_SELL_ARROW_5,
FirmLoadArea-1.h	138	BTN_SELL_ARROW_6,
FirmLoadArea-1.h	139	BTN_SELL_ARROW_7,
FirmLoadArea-1.h	140	BTN_SELL_ARROW_8,
FirmLoadArea-1.h	141	BTN_SELL_ARROW_9,
FirmLoadArea-1.h	142	BTN_SELL_ARROW_10,
FirmLoadArea-1.h	143	BTN_SELL_MINUS_1,
FirmLoadArea-1.h	144	BTN_SELL_MINUS_2,
FirmLoadArea-1.h	145	BTN_SELL_MINUS_3,
FirmLoadArea-1.h	146	BTN_SELL_MINUS_4,
FirmLoadArea-1.h	147	BTN_SELL_MINUS_5,
FirmLoadArea-1.h	148	BTN_SELL_MINUS_6,
FirmLoadArea-1.h	149	BTN_SELL_MINUS_7,
FirmLoadArea-1.h	150	BTN_SELL_MINUS_8,
FirmLoadArea-1.h	151	BTN_SELL_MINUS_9,
FirmLoadArea-1.h	152	BTN_SELL_MINUS_10,
FirmLoadArea-1.h	153	BTN_SELL_ADD_1,
FirmLoadArea-1.h	154	BTN_SELL_ADD_2,
FirmLoadArea-1.h	155	BTN_SELL_ADD_3,
FirmLoadArea-1.h	156	BTN_SELL_ADD_4,
FirmLoadArea-1.h	157	BTN_SELL_ADD_5,
FirmLoadArea-1.h	158	BTN_SELL_ADD_6,
FirmLoadArea-1.h	159	BTN_SELL_ADD_7,
FirmLoadArea-1.h	160	BTN_SELL_ADD_8,
FirmLoadArea-1.h	161	BTN_SELL_ADD_9,
FirmLoadArea-1.h	162	BTN_SELL_ADD_10,
FirmLoadArea-1.h	163	SHOW_PRICE_1,
FirmLoadArea-1.h	164	SHOW_PRICE_2,
FirmLoadArea-1.h	165	SHOW_PRICE_3,
FirmLoadArea-1.h	166	SHOW_PRICE_4,
FirmLoadArea-1.h	167	SHOW_PRICE_5,
FirmLoadArea-1.h	168	SHOW_PRICE_6,
FirmLoadArea-1.h	169	SHOW_PRICE_7,
FirmLoadArea-1.h	170	SHOW_PRICE_8,
FirmLoadArea-1.h	171	SHOW_PRICE_9,
FirmLoadArea-1.h	172	SHOW_PRICE_10,
FirmLoadArea-1.h	173	SHOW_ITEM_1,
FirmLoadArea-1.h	174	SHOW_ITEM_2,
FirmLoadArea-1.h	175	SHOW_ITEM_3,
FirmLoadArea-1.h	176	SHOW_ITEM_4,
FirmLoadArea-1.h	177	SHOW_ITEM_5,
FirmLoadArea-1.h	178	SHOW_ITEM_6,
FirmLoadArea-1.h	179	SHOW_ITEM_7,
FirmLoadArea-1.h	180	SHOW_ITEM_8,
FirmLoadArea-1.h	181	SHOW_ITEM_9,
FirmLoadArea-1.h	182	SHOW_ITEM_10,
FirmLoadArea-1.h	183	UNUSE_OBJ190,
FirmLoadArea-1.h	184	EGB_STOCK_1,
FirmLoadArea-1.h	185	EGB_STOCK_2,
FirmLoadArea-1.h	186	EGB_STOCK_3,
FirmLoadArea-1.h	187	EGB_STOCK_4,
FirmLoadArea-1.h	188	EGB_STOCK_5,
FirmLoadArea-1.h	189	EGB_STOCK_6,
FirmLoadArea-1.h	190	EGB_STOCK_7,
FirmLoadArea-1.h	191	EGB_STOCK_8,
FirmLoadArea-1.h	192	EGB_STOCK_9,
FirmLoadArea-1.h	193	EGB_STOCK_10,
FirmLoadArea-1.h	194	EGB_POLICY_1,
FirmLoadArea-1.h	195	EGB_POLICY_2,
FirmLoadArea-1.h	196	EGB_POLICY_3,
FirmLoadArea-1.h	197	EGB_POLICY_4,
FirmLoadArea-1.h	198	EGB_POLICY_5,
FirmLoadArea-1.h	199	EGB_POLICY_6,
FirmLoadArea-1.h	200	EGB_POLICY_7,
FirmLoadArea-1.h	201	EGB_POLICY_8,
FirmLoadArea-1.h	202	EGB_POLICY_9,
FirmLoadArea-1.h	203	EGB_POLICY_10,
FirmLoadArea-1.h	204	BTN_LISTBOARD,
FirmLoadArea-1.h	205	LIST_LEFT,
FirmLoadArea-1.h	206	LIST_RIGHT,
FirmLoadArea-1.h	207	SHOW_BUY_POLICY_WORD_1,
FirmLoadArea-1.h	208	SHOW_BUY_POLICY_WORD_2,
FirmLoadArea-1.h	209	SHOW_BUY_POLICY_WORD_3,
FirmLoadArea-1.h	210	SHOW_SELL_POLICY_WORD_1,
FirmLoadArea-1.h	211	SHOW_SELL_POLICY_WORD_2,
FirmLoadArea-1.h	212	SHOW_SELL_POLICY_WORD_3,
FirmLoadArea-1.h	213	SHOW_SELL_POLICY_WORD_4
FirmLoadArea-1.h	214	};
FirmLoadArea.h	1	enum {
FirmLoadArea.h	2	BTN_REMOVE,
FirmLoadArea.h	3	BTN_TITLEBAR,
FirmLoadArea.h	4	SHOW_NAME
FirmLoadArea.h	5	};
FirmLoadArea_ItemBoard.h	1	enum {
FirmLoadArea_ItemBoard.h	2	BTN_BOARD,
FirmLoadArea_ItemBoard.h	3	BTN_ITEM,
FirmLoadArea_ItemBoard.h	4	UNUSE_OBJ13,
FirmLoadArea_ItemBoard.h	5	UNUSE_OBJ14,
FirmLoadArea_ItemBoard.h	6	UNUSE_OBJ15,
FirmLoadArea_ItemBoard.h	7	UNUSE_OBJ16,
FirmLoadArea_ItemBoard.h	8	SHOW_STOCK,
FirmLoadArea_ItemBoard.h	9	SHOW_SPEND,
FirmLoadArea_ItemBoard.h	10	SHOW_BESTQ,
FirmLoadArea_ItemBoard.h	11	SHOW_COST
FirmLoadArea_ItemBoard.h	12	};
FirmLoadArea_list.h	1	enum {
FirmLoadArea_list.h	2	BTN_BG,
FirmLoadArea_list.h	3	LIST_ITEM
FirmLoadArea_list.h	4	};
FirmMachine.h	1	enum {
FirmMachine.h	2	DAMAGE,
FirmMachine.h	3	BTN_STOP,
FirmMachine.h	4	BTN_SELL,
FirmMachine.h	5	BTN_MANAGER_ADD,
FirmMachine.h	6	BTN_MANAGER_MINUS,
FirmMachine.h	7	BTN_WORKER_MINUS,
FirmMachine.h	8	BTN_WORKER_ADD,
FirmMachine.h	9	BTN_ARROW,
FirmMachine.h	10	UNUSE_OBJ9,
FirmMachine.h	11	UNUSE_OBJ10,
FirmMachine.h	12	UNUSE_OBJ13,
FirmMachine.h	13	UNUSE_OBJ14,
FirmMachine.h	14	UNUSE_OBJ15,
FirmMachine.h	15	UNUSE_OBJ16,
FirmMachine.h	16	SHOW_MANAGER_NUM,
FirmMachine.h	17	SHOW_WORKER_NUM,
FirmMachine.h	18	SHOW_QUALITY,
FirmMachine.h	19	SHOW_FIXFEE,
FirmMachine.h	20	SHOW_IN_NAME_1,
FirmMachine.h	21	SHOW_IN_NAME_2,
FirmMachine.h	22	SHOW_IN_NAME_3,
FirmMachine.h	23	SHOW_IN_NAME_4,
FirmMachine.h	24	EGB_IN_1,
FirmMachine.h	25	EGB_IN_2,
FirmMachine.h	26	EGB_IN_3,
FirmMachine.h	27	EGB_IN_4,
FirmMachine.h	28	SHOW_IN_NUM_1,
FirmMachine.h	29	SHOW_IN_NUM_2,
FirmMachine.h	30	SHOW_IN_NUM_3,
FirmMachine.h	31	SHOW_IN_NUM_4,
FirmMachine.h	32	EGB_OUT,
FirmMachine.h	33	SHOW_OUT_NAME,
FirmMachine.h	34	SHOW_OUT_NUM,
FirmMachine.h	35	SHOW_MONTH_1,
FirmMachine.h	36	SHOW_MONTH_2,
FirmMachine.h	37	SHOW_MONTH_3,
FirmMachine.h	38	SHOW_MONTH_4,
FirmMachine.h	39	SHOW_PRODUCE_1,
FirmMachine.h	40	SHOW_PRODUCE_2,
FirmMachine.h	41	SHOW_PRODUCE_3,
FirmMachine.h	42	SHOW_PRODUCE_4,
FirmMachine.h	43	UNUSE_OBJ38,
FirmMachine.h	44	SHOW_NEXTITEM,
FirmMachine.h	45	BTN_TITLEBAR,
FirmMachine.h	46	SHOW_MACHINE_NAME,
FirmMachine.h	47	SHOW_MACHINE_YEAR,
FirmMachine.h	48	BTN_RESTART,
FirmMachine.h	49	EGB_MANAGER,
FirmMachine.h	50	EGB_WORKER,
FirmMachine.h	51	LIST_PRODUCT,
FirmMachine.h	52	LIST_SOURCE,
FirmMachine.h	53	SHOW_UNITSTR1,
FirmMachine.h	54	SHOW_UNITSTR2,
FirmMachine.h	55	SHOW_UNITSTR3,
FirmMachine.h	56	SHOW_UNITSTR4
FirmMachine.h	57	};
FirmMachineSell.h	1	enum {
FirmMachineSell.h	2	BTN_YES,
FirmMachineSell.h	3	BTN_NO,
FirmMachineSell.h	4	UNUSE_OBJ3,
FirmMachineSell.h	5	UNUSE_OBJ4,
FirmMachineSell.h	6	SHOW_PRICE
FirmMachineSell.h	7	};
FirmMachineStop.h	1	enum {
FirmMachineStop.h	2	BTN_YES,
FirmMachineStop.h	3	BTN_NO,
FirmMachineStop.h	4	UNUSE_OBJ3
FirmMachineStop.h	5	};
FirmMachine_List.h	1	enum {
FirmMachine_List.h	2	BTN_BOTTOM,
FirmMachine_List.h	3	LIST_ITEM
FirmMachine_List.h	4	};
FirmMine.h	1	enum {
FirmMine.h	2	UNUSE_OBJ1,
FirmMine.h	3	SHOW_NAME,
FirmMine.h	4	UNUSE_OBJ3,
FirmMine.h	5	SHOW_QUALITY,
FirmMine.h	6	UNUSE_OBJ5,
FirmMine.h	7	SHOW_QUANTITY,
FirmMine.h	8	BTN_MINE_PIC
FirmMine.h	9	};
GameSetting.h	1	enum {
GameSetting.h	2	UNUSE_OBJ1,
GameSetting.h	3	UNUSE_OBJ2,
GameSetting.h	4	UNUSE_OBJ3,
GameSetting.h	5	UNUSE_OBJ4,
GameSetting.h	6	UNUSE_OBJ5,
GameSetting.h	7	UNUSE_OBJ6,
GameSetting.h	8	UNUSE_OBJ7,
GameSetting.h	9	UNUSE_OBJ8,
GameSetting.h	10	UNUSE_OBJ9,
GameSetting.h	11	UNUSE_OBJ10,
GameSetting.h	12	SHOW_NAME,
GameSetting.h	13	SHOW_COLOR,
GameSetting.h	14	SHOW_YEAR,
GameSetting.h	15	SHOW_MONEY,
GameSetting.h	16	SHOW_MAP,
GameSetting.h	17	BTN_COLOR,
GameSetting.h	18	BTN_YEAR_ADD,
GameSetting.h	19	BTN_YEAR_MINUS,
GameSetting.h	20	BTN_MONEY_ADD,
GameSetting.h	21	BTN_MONEY_MINUS,
GameSetting.h	22	BTN_MAP,
GameSetting.h	23	SHOW_CITYTYPE,
GameSetting.h	24	BTN_CITYTYPE,
GameSetting.h	25	EGB_POP,
GameSetting.h	26	EGB_MINE,
GameSetting.h	27	EGB_SELLLAND,
GameSetting.h	28	EGB_AI,
GameSetting.h	29	BTN_OK,
GameSetting.h	30	BTN_CANCEL,
GameSetting.h	31	LIST_COLOR,
GameSetting.h	32	LIST_MAP,
GameSetting.h	33	LIST_CITYTYPE,
GameSetting.h	34	SCROLL_MAP
GameSetting.h	35	};
IO_rule.h	1	enum {
IO_rule.h	2	UNUSE_OBJ1,
IO_rule.h	3	UNUSE_OBJ2,
IO_rule.h	4	UNUSE_OBJ3,
IO_rule.h	5	UNUSE_OBJ5,
IO_rule.h	6	UNUSE_OBJ6,
IO_rule.h	7	UNUSE_OBJ7,
IO_rule.h	8	BOARD_00,
IO_rule.h	9	BOARD_01,
IO_rule.h	10	BOARD_02,
