APKG	序号	文件名	偏移	大小
FACE.APKG	35	face_btn1.h	11446	52
FACE.APKG	36	face_btn2.fce	11498	151
FACE.APKG	37	face_btn2.h	11649	37
FACE.APKG	38	face_buildfact_confirm.fce	11686	192
FACE.APKG	39	face_buildfact_confirm.h	11878	38
FACE.APKG	40	face_buymachine.fce	11916	505
FACE.APKG	41	face_buymachine.h	12421	330
FACE.APKG	42	face_cancel_build_confirm.fce	12751	197
FACE.APKG	43	face_cancel_build_confirm.h	12948	38
FACE.APKG	44	face_cheat.fce	12986	91
FACE.APKG	45	face_cheat.h	13077	21
FACE.APKG	46	face_event.fce	13098	157
FACE.APKG	47	face_event.h	13255	37
FACE.APKG	48	face_fix_machine.fce	13292	214
FACE.APKG	49	face_fix_machine.h	13506	61
FACE.APKG	50	face_hint.fce	13567	138
FACE.APKG	51	face_hint.h	13705	20
FACE.APKG	52	face_license.fce	13725	336
FACE.APKG	53	face_license.h	14061	123
FACE.APKG	54	face_list.fce	14184	135
FACE.APKG	55	face_list.h	14319	20
FACE.APKG	56	face_machine.fce	14339	1071
FACE.APKG	57	face_machine.h	15410	871
FACE.APKG	58	face_machine_introduce.fce	16281	656
FACE.APKG	59	face_machine_introduce.h	16937	387
FACE.APKG	60	face_mapedit.fce	17324	177
FACE.APKG	61	face_mapedit.h	17501	38
FACE.APKG	62	face_prograss.fce	17539	144
FACE.APKG	63	face_prograss.h	17683	49
FACE.APKG	64	face_put_machine.fce	17732	589
FACE.APKG	65	face_put_machine.h	18321	421
FACE.APKG	66	face_retailmachine.fce	18742	908
FACE.APKG	67	face_retailmachine.h	19650	567
FACE.APKG	68	face_rmfact_confirm.fce	20217	194
FACE.APKG	69	face_rmfact_confirm.h	20411	38
FACE.APKG	70	face_salary_0.fce	20449	452
FACE.APKG	71	face_salary_0.h	20901	278
FACE.APKG	72	face_saleland_confirm.fce	21179	196
FACE.APKG	73	face_saleland_confirm.h	21375	38
FACE.APKG	74	face_salesman.fce	21413	296
FACE.APKG	75	face_salesman.h	21709	125
FACE.APKG	76	face_smallmap.fce	21834	308
FACE.APKG	77	face_smallmap.h	22142	111
FACE.APKG	78	face_sp1.fce	22253	110
FACE.APKG	79	face_sp1.h	22363	27
FACE.APKG	80	face_stage_info.fce	22390	131
FACE.APKG	81	face_stage_info.h	22521	28
FACE.APKG	82	face_talk.fce	22549	251
FACE.APKG	83	face_talk.h	22800	79
FACE.APKG	84	face_task.fce	22879	134
FACE.APKG	85	face_task.h	23013	28
FACE.APKG	86	factinf.fce	23041	347
FACE.APKG	87	factinf.h	23388	161
FACE.APKG	88	factinf_board.fce	23549	775
FACE.APKG	89	factinf_board.h	24324	590
FACE.APKG	90	factinf_buy.fce	24914	236
FACE.APKG	91	factinf_buy.h	25150	65
FACE.APKG	92	factinf_chart.fce	25215	538
FACE.APKG	93	factinf_chart.h	25753	325
FACE.APKG	94	factinf_clrsel.fce	26078	196
FACE.APKG	95	factinf_clrsel.h	26274	65
FACE.APKG	96	factinf_dorm.fce	26339	394
FACE.APKG	97	factinf_dorm.h	26733	275
FACE.APKG	98	factinf_mine.fce	27008	352
FACE.APKG	99	factinf_mine.h	27360	207
FACE.APKG	100	factinf_port.fce	27567	465
FACE.APKG	101	factinf_port.h	28032	340
FACE.APKG	102	factinf_pro.fce	28372	953
FACE.APKG	103	factinf_pro.h	29325	756
FACE.APKG	104	factinf_profit.fce	30081	269
FACE.APKG	105	factinf_profit.h	30350	108
FACE.APKG	106	factinf_retail.fce	30458	206
FACE.APKG	107	factinf_retail.h	30664	56
FACE.APKG	108	factinf_sale.fce	30720	205
FACE.APKG	109	factinf_sale.h	30925	56
FACE.APKG	110	fact_exit.fce	30981	90
FACE.APKG	111	fact_exit.h	31071	23
FACE.APKG	112	fact_profit_info.fce	31094	2128
FACE.APKG	113	fact_profit_info.h	33222	2005
FACE.APKG	114	famhall1.fce	35227	412
FACE.APKG	115	famhall1.h	35639	477
FACE.APKG	116	famhall2.fce	36116	412
FACE.APKG	117	famhall2.h	36528	477
FACE.APKG	118	FirmBoard.fce	37005	531
FACE.APKG	119	FirmBoard.h	37536	295
FACE.APKG	120	FirmDorm.fce	37831	295
FACE.APKG	121	FirmDorm.h	38126	137
FACE.APKG	122	FirmLoadArea-1.fce	38263	2010
FACE.APKG	123	FirmLoadArea-1.h	40273	3371
FACE.APKG	124	FirmLoadArea.fce	43644	198
FACE.APKG	125	FirmLoadArea.h	43842	46
FACE.APKG	126	FirmLoadArea_ItemBoard.fce	43888	277
FACE.APKG	127	FirmLoadArea_ItemBoard.h	44165	129
FACE.APKG	128	FirmLoadArea_List.fce	44294	160
FACE.APKG	129	FirmLoadArea_list.h	44454	28
FACE.APKG	130	FirmMachine.fce	44482	979
FACE.APKG	131	FirmMachine.h	45461	784
FACE.APKG	132	FirmMachineSell.fce	46245	237
FACE.APKG	133	FirmMachineSell.h	46482	62
FACE.APKG	134	FirmMachineStop.fce	46544	195
FACE.APKG	135	FirmMachineStop.h	46739	38
FACE.APKG	136	FirmMachine_List.fce	46777	156
FACE.APKG	137	FirmMachine_List.h	46933	32
FACE.APKG	138	FirmMine.fce	46965	224
FACE.APKG	139	FirmMine.h	47189	99
FACE.APKG	140	forsale-mine.fce	47288	535
FACE.APKG	141	forsale-mine.h	47823	321
FACE.APKG	142	forsale.fce	48144	381
FACE.APKG	143	forsale.h	48525	250
FACE.APKG	144	freeplay.fce	48775	2714
FACE.APKG	145	freeplay.h	51489	2903
FACE.APKG	146	freeplay_menu.fce	54392	146
FACE.APKG	147	freeplay_menu.h	54538	48
FACE.APKG	148	GameSetting.fce	54586	643
FACE.APKG	149	GameSetting.h	55229	407
FACE.APKG	150	home.fce	55636	558
FACE.APKG	151	home.h	56194	561
FACE.APKG	152	infact_name.fce	56755	87
FACE.APKG	153	infact_name.h	56842	20
FACE.APKG	154	inoutinfo.fce	56862	876
FACE.APKG	155	inoutinfo.h	57738	550
FACE.APKG	156	IO_rule.fce	58288	463
FACE.APKG	157	IO_rule.h	58751	280
FACE.APKG	158	IO_rule_1.fce	59031	838
FACE.APKG	159	IO_rule_1.h	59869	598
FACE.APKG	160	IO_rule_list.fce	60467	138
FACE.APKG	161	IO_rule_list.h	60605	15
FACE.APKG	162	list2.fce	60620	139
FACE.APKG	163	list2.h	60759	16
FACE.APKG	164	Load-1.fce	60775	324
FACE.APKG	165	Load-1.h	61099	147
FACE.APKG	166	Load.fce	61246	357
FACE.APKG	167	Load.h	61603	133
FACE.APKG	168	LoadArea.fce	61736	164
FACE.APKG	169	LoadArea.h	61900	34
FACE.APKG	170	LoadConfirm.fce	61934	193
FACE.APKG	171	LoadConfirm.h	62127	38
FACE.APKG	172	load_prograss.fce	62165	146
FACE.APKG	173	load_prograss.h	62311	33
FACE.APKG	174	lose_face.fce	62344	401
FACE.APKG	175	lose_face.h	62745	311
FACE.APKG	176	MachineProduct.fce	63056	344
FACE.APKG	177	MachineProduct.h	63400	256
FACE.APKG	178	main.fce	63656	459
FACE.APKG	179	main.h	64115	242
FACE.APKG	180	main1.fce	64357	693
FACE.APKG	181	main1.h	65050	477
FACE.APKG	182	MainMenu.fce	65527	204
FACE.APKG	183	MainMenu.h	65731	78
FACE.APKG	184	MapRotate.fce	65809	127
FACE.APKG	185	MapRotate.h	65936	30
FACE.APKG	186	menu1.fce	65966	173
FACE.APKG	187	menu1.h	66139	67
FACE.APKG	188	MenuConfirm.fce	66206	177
FACE.APKG	189	MenuConfirm.h	66383	38
FACE.APKG	190	MyFirmButton.fce	66421	255
FACE.APKG	191	MyFirmButton.h	66676	76
FACE.APKG	192	MyFirmInfo-Mine.fce	66752	394
FACE.APKG	193	MyFirmInfo-Mine.h	67146	248
FACE.APKG	194	MyFirmInfo-Up.fce	67394	190
FACE.APKG	195	MyFirmInfo-Up.h	67584	89
FACE.APKG	196	MyFirmInfo.fce	67673	262
FACE.APKG	197	MyFirmInfo.h	67935	78
FACE.APKG	198	MyFirmManage-1.fce	68013	259
FACE.APKG	199	MyFirmManage-1.h	68272	152
FACE.APKG	200	MyFirmManage.fce	68424	276
FACE.APKG	201	MyFirmManage.h	68700	91
FACE.APKG	202	MyFirmRemove.fce	68791	192
FACE.APKG	203	MyFirmRemove.h	68983	38
FACE.APKG	204	MyFirmRename.fce	69021	228
FACE.APKG	205	MyFirmRename.h	69249	52
FACE.APKG	206	MyFirmReport.fce	69301	1403
FACE.APKG	207	MyFirmReport.h	70704	2822
FACE.APKG	208	MyFirmSell.fce	73526	284
FACE.APKG	209	MyFirmSell.h	73810	86
FACE.APKG	210	MyFirmStop.fce	73896	185
FACE.APKG	211	MyFirmStop.h	74081	48
FACE.APKG	212	new_option.fce	74129	369
FACE.APKG	213	new_option.h	74498	139
FACE.APKG	214	NoMoney.fce	74637	192
FACE.APKG	215	NoMoney.h	74829	29
FACE.APKG	216	NPCselect.fce	74858	175
FACE.APKG	217	NPCselect.h	75033	42
FACE.APKG	218	Option.fce	75075	246
FACE.APKG	219	Option.h	75321	97
FACE.APKG	220	ownerfact_btns.fce	75418	135
FACE.APKG	221	ownerfact_btns.h	75553	56
FACE.APKG	222	ProductBook.fce	75609	1010
FACE.APKG	223	ProductBook.h	76619	570
FACE.APKG	224	ProductBook_Board.fce	77189	368
FACE.APKG	225	ProductBook_Board.h	77557	149
FACE.APKG	226	ProductBook_List.fce	77706	141
FACE.APKG	227	ProductBook_List.h	77847	27
FACE.APKG	228	prod_info.fce	77874	1942
FACE.APKG	229	prod_info.h	79816	2012
FACE.APKG	230	profit_info.fce	81828	1219
FACE.APKG	231	profit_info.h	83047	993
FACE.APKG	232	QuitConfirm.fce	84040	193
FACE.APKG	233	QuitConfirm.h	84233	38
FACE.APKG	234	RetailMachine.fce	84271	810
FACE.APKG	235	RetailMachine.h	85081	421
FACE.APKG	236	SalaryAdjust.fce	85502	397
FACE.APKG	237	SalaryAdjust.h	85899	345
FACE.APKG	238	SaleMachine-1.fce	86244	183
FACE.APKG	239	SaleMachine-1.h	86427	39
FACE.APKG	240	SaleMachine.fce	86466	476
FACE.APKG	241	SaleMachine.h	86942	286
FACE.APKG	242	SaleMachineInfo.fce	87228	752
FACE.APKG	243	SaleMachineInfo.h	87980	586
FACE.APKG	244	save.fce	88566	352
FACE.APKG	245	save.h	88918	135
FACE.APKG	246	SaveConfirm.fce	89053	193
FACE.APKG	247	SaveConfirm.h	89246	38
FACE.APKG	248	save_prograss.fce	89284	146
FACE.APKG	249	save_prograss.h	89430	33
FACE.APKG	250	score_info.fce	89463	1653
FACE.APKG	251	score_info.h	91116	1870
FACE.APKG	252	scroll_list1.fce	92986	228
FACE.APKG	253	scroll_list1.h	93214	48
FACE.APKG	254	SmallMapBtn.fce	93262	156
FACE.APKG	255	SmallMapBtn.h	93418	55
FACE.APKG	256	sreport.fce	93473	993
FACE.APKG	257	sreport.h	94466	922
FACE.APKG	258	taskhint.fce	95388	839
FACE.APKG	259	taskhint.h	96227	551
FACE.APKG	260	taskmenu.fce	96778	821
FACE.APKG	261	taskmenu.h	97599	862
FACE.APKG	262	taskplay.fce	98461	1933
FACE.APKG	263	taskplay.h	100394	1386
FACE.APKG	264	task_arrow.fce	101780	103
FACE.APKG	265	task_arrow.h	101883	21
FACE.APKG	266	ToBuildFirm-1.fce	101904	310
FACE.APKG	267	ToBuildFirm-1.h	102214	222
FACE.APKG	268	ToBuildFirm-Mine.fce	102436	538
FACE.APKG	269	ToBuildFirm-Mine.h	102974	548
FACE.APKG	270	ToBuildFirm.fce	103522	494
FACE.APKG	271	ToBuildFirm.h	104016	414
FACE.APKG	272	water_soil.fce	104430	299
FACE.APKG	273	water_soil.h	104729	112
FACE.APKG	274	win_face.fce	104841	843
FACE.APKG	275	win_face.h	105684	660
FACEPICS.APKG	0	balance_info.idx2	12	144
FACEPICS.APKG	1	balance_info.pic2	156	324013
FACEPICS.APKG	2	Bank.idx2	324169	56
FACEPICS.APKG	3	Bank.pic2	324225	925076
FACEPICS.APKG	4	BOARD.idx2	1249301	24
FACEPICS.APKG	5	BOARD.pic2	1249325	55282
FACEPICS.APKG	6	board_btn1.idx2	1304607	52
FACEPICS.APKG	7	board_btn1.pic2	1304659	18088
FACEPICS.APKG	8	board_btn2.idx2	1322747	52
FACEPICS.APKG	9	board_btn2.pic2	1322799	13954
FACEPICS.APKG	10	BuildinGFIRM.idx2	1336753	80
FACEPICS.APKG	11	BuildinGFIRM.pic2	1336833	61378
FACEPICS.APKG	12	buyfact.idx2	1398211	116
FACEPICS.APKG	13	buyfact.pic2	1398327	225822
FACEPICS.APKG	14	buymachine.idx2	1624149	164
FACEPICS.APKG	15	buymachine.pic2	1624313	116235
FACEPICS.APKG	16	buystuff_confirm.idx2	1740548	32
FACEPICS.APKG	17	buystuff_confirm.pic2	1740580	34815
FACEPICS.APKG	18	ceo_info.idx2	1775395	52
FACEPICS.APKG	19	ceo_info.pic2	1775447	170575
FACEPICS.APKG	20	ceo_regist.idx2	1946022	100
FACEPICS.APKG	21	ceo_regist.pic2	1946122	57000
FACEPICS.APKG	22	companyinfo.idx2	2003122	44
FACEPICS.APKG	23	companyinfo.pic2	2003166	13954
FACEPICS.APKG	24	DORM-1.idx2	2017120	32
FACEPICS.APKG	25	DORM-1.pic2	2017152	36358
FACEPICS.APKG	26	DORM.idx2	2053510	36
FACEPICS.APKG	27	DORM.pic2	2053546	63827
FACEPICS.APKG	28	EnemyFirMINFO.idx2	2117373	48
FACEPICS.APKG	29	EnemyFirMINFO.pic2	2117421	129361
FACEPICS.APKG	30	events.idx2	2246782	40
FACEPICS.APKG	31	events.pic2	2246822	2014284
FACEPICS.APKG	32	ExitButton.idx2	4261106	40
FACEPICS.APKG	33	ExitButton.pic2	4261146	9202
FACEPICS.APKG	34	face_license.idx2	4270348	32
FACEPICS.APKG	35	face_license.pic2	4270380	71665
FACEPICS.APKG	36	face_list.idx2	4342045	16
FACEPICS.APKG	37	face_list.pic2	4342061	3791
FACEPICS.APKG	38	face_machine.idx2	4345852	200
FACEPICS.APKG	39	face_machine.pic2	4346052	112738
FACEPICS.APKG	40	face_machine_introduce.idx2	4458790	40
FACEPICS.APKG	41	face_machine_introduce.pic2	4458830	62217
FACEPICS.APKG	42	face_put_machine.idx2	4521047	116
FACEPICS.APKG	43	face_put_machine.pic2	4521163	74676
FACEPICS.APKG	44	face_retailmachine.idx2	4595839	160
FACEPICS.APKG	45	face_retailmachine.pic2	4595999	183765
FACEPICS.APKG	46	face_salary_1.idx2	4779764	96
FACEPICS.APKG	47	face_salary_1.pic2	4779860	54327
FACEPICS.APKG	48	face_salesman.idx2	4834187	32
FACEPICS.APKG	49	face_salesman.pic2	4834219	17725
FACEPICS.APKG	50	face_SmaLLMAP.idx2	4851944	100
FACEPICS.APKG	51	face_SmaLLMAP.pic2	4852044	20482
FACEPICS.APKG	52	factinf.idx2	4872526	152
FACEPICS.APKG	53	factinf.pic2	4872678	76985
FACEPICS.APKG	54	factinf_board.idx2	4949663	68
FACEPICS.APKG	55	factinf_board.pic2	4949731	70924
FACEPICS.APKG	56	factinf_chart.idx2	5020655	40
FACEPICS.APKG	57	factinf_chart.pic2	5020695	28192
FACEPICS.APKG	58	factinf_dorm.idx2	5048887	68
FACEPICS.APKG	59	factinf_dorm.pic2	5048955	75731
FACEPICS.APKG	60	factinf_mine.idx2	5124686	108
FACEPICS.APKG	61	factinf_mine.pic2	5124794	193709
FACEPICS.APKG	62	factinf_port.idx2	5318503	68
FACEPICS.APKG	63	factinf_port.pic2	5318571	73763
FACEPICS.APKG	64	factinf_pro.idx2	5392334	136
FACEPICS.APKG	65	factinf_pro.pic2	5392470	50013
FACEPICS.APKG	66	factinf_pro_clrsel.idx2	5442483	40
FACEPICS.APKG	67	factinf_pro_clrsel.pic2	5442523	16960
FACEPICS.APKG	68	fact_profit_info.idx2	5459483	184
FACEPICS.APKG	69	fact_profit_info.pic2	5459667	343973
FACEPICS.APKG	70	famhall1.idx2	5803640	180
FACEPICS.APKG	71	famhall1.pic2	5803820	580381
FACEPICS.APKG	72	famhall2.idx2	6384201	180
FACEPICS.APKG	73	famhall2.pic2	6384381	579322
FACEPICS.APKG	74	FirmBOARD.idx2	6963703	36
FACEPICS.APKG	75	FirmBOARD.pic2	6963739	52405
FACEPICS.APKG	76	FirmDorm.idx2	7016144	36
FACEPICS.APKG	77	FirmDorm.pic2	7016180	64566
FACEPICS.APKG	78	FirmLoadAREA-1.idx2	7080746	212
FACEPICS.APKG	79	FirmLoadAREA-1.pic2	7080958	752502
FACEPICS.APKG	80	FirmLoaDAREA.idx2	7833460	48
FACEPICS.APKG	81	FirmLoaDAREA.pic2	7833508	64294
FACEPICS.APKG	82	FirmLoadArea_Board.idx2	7897802	8
FACEPICS.APKG	83	FirmLoadArea_Board.pic2	7897810	19605
FACEPICS.APKG	84	FirmMachine.idx2	7917415	136
FACEPICS.APKG	85	FirmMachine.pic2	7917551	78146
FACEPICS.APKG	86	FirmMachinESELL.idx2	7995697	32
FACEPICS.APKG	87	FirmMachinESELL.pic2	7995729	36613
FACEPICS.APKG	88	FirmMachinESTOP.idx2	8032342	32
FACEPICS.APKG	89	FirmMachinESTOP.pic2	8032374	36358
FACEPICS.APKG	90	FirmMachine_List.idx2	8068732	16
FACEPICS.APKG	91	FirmMachine_List.pic2	8068748	11181
FACEPICS.APKG	92	FirmMine.idx2	8079929	48
FACEPICS.APKG	93	FirmMine.pic2	8079977	156316
FACEPICS.APKG	94	forsale-MINE.idx2	8236293	24
FACEPICS.APKG	95	forsale-MINE.pic2	8236317	55658
FACEPICS.APKG	96	foRSALE.idx2	8291975	24
FACEPICS.APKG	97	foRSALE.pic2	8291999	56029
FACEPICS.APKG	98	freeplay.idx2	8348028	328
FACEPICS.APKG	99	freeplay.pic2	8348356	650502
FACEPICS.APKG	100	freeplay_menu.idx2	8998858	132
FACEPICS.APKG	101	freeplay_menu.pic2	8998990	5099572
FACEPICS.APKG	102	hint_board.idx2	14098562	28
FACEPICS.APKG	103	hint_board.pic2	14098590	11698
FACEPICS.APKG	104	HOME.idx2	14110288	64
FACEPICS.APKG	105	HOME.pic2	14110352	59555
FACEPICS.APKG	106	inoutinfo.idx2	14169907	100
FACEPICS.APKG	107	inoutinfo.pic2	14170007	89911
FACEPICS.APKG	108	IO_RULE.idx2	14259918	276
FACEPICS.APKG	109	IO_RULE.pic2	14260194	304046
FACEPICS.APKG	110	list2.idx2	14564240	16
FACEPICS.APKG	111	list2.pic2	14564256	4787
FACEPICS.APKG	112	LOAD-1.idx2	14569043	84
FACEPICS.APKG	113	LOAD-1.pic2	14569127	64459
FACEPICS.APKG	114	LOAD.idx2	14633586	160
FACEPICS.APKG	115	LOAD.pic2	14633746	277665
FACEPICS.APKG	116	LoaDAREA.idx2	14911411	24
FACEPICS.APKG	117	LoaDAREA.pic2	14911435	57956
FACEPICS.APKG	118	LoadingPic.idx2	14969391	72
FACEPICS.APKG	119	LoadingPic.pic2	14969463	7225774
FACEPICS.APKG	120	load_prograss.idx2	22195237	28
FACEPICS.APKG	121	load_prograss.pic2	22195265	34623
FACEPICS.APKG	122	lose_face.idx2	22229888	152
FACEPICS.APKG	123	lose_face.pic2	22230040	315838
FACEPICS.APKG	124	Machine.idx2	22545878	112
FACEPICS.APKG	125	Machine.pic2	22545990	143075
FACEPICS.APKG	126	MachineProduct.idx2	22689065	28
FACEPICS.APKG	127	MachineProduct.pic2	22689093	52161
FACEPICS.APKG	128	mainface.idx2	22741254	272
FACEPICS.APKG	129	mainface.pic2	22741526	281849
FACEPICS.APKG	130	MainMenu.idx2	23023375	164
FACEPICS.APKG	131	MainMenu.pic2	23023539	5177495
FACEPICS.APKG	132	MapRotate.idx2	28201034	28
FACEPICS.APKG	133	MapRotate.pic2	28201062	8965
FACEPICS.APKG	134	MyFirmButton.idx2	28210027	68
FACEPICS.APKG	135	MyFirmButton.pic2	28210095	17930
FACEPICS.APKG	136	MyFirmInfo-MINE.idx2	28228025	48
FACEPICS.APKG	137	MyFirmInfo-MINE.pic2	28228073	53751
FACEPICS.APKG	138	MyFirMINFO.idx2	28281824	56
FACEPICS.APKG	139	MyFirMINFO.pic2	28281880	54278
FACEPICS.APKG	140	MyFirmManage-New.idx2	28336158	96
FACEPICS.APKG	141	MyFirmManage-New.pic2	28336254	253882
FACEPICS.APKG	142	MyFirmMANAGE.idx2	28590136	108
FACEPICS.APKG	143	MyFirmMANAGE.pic2	28590244	202105
FACEPICS.APKG	144	MyFirmREMOVE.idx2	28792349	32
FACEPICS.APKG	145	MyFirmREMOVE.pic2	28792381	36386
FACEPICS.APKG	146	MyFirmRENAME.idx2	28828767	32
FACEPICS.APKG	147	MyFirmRENAME.pic2	28828799	36590
FACEPICS.APKG	148	MyFirmREPORT.idx2	28865389	56
FACEPICS.APKG	149	MyFirmREPORT.pic2	28865445	529239
FACEPICS.APKG	150	MyFirMSELL.idx2	29394684	32
FACEPICS.APKG	151	MyFirMSELL.pic2	29394716	36693
FACEPICS.APKG	152	MyFirMSTOP.idx2	29431409	32
FACEPICS.APKG	153	MyFirMSTOP.pic2	29431441	36386
FACEPICS.APKG	154	new_option.idx2	29467827	120
FACEPICS.APKG	155	new_option.pic2	29467947	99573
FACEPICS.APKG	156	nomoney.idx2	29567520	20
FACEPICS.APKG	157	nomoney.pic2	29567540	64519
FACEPICS.APKG	158	OPTION.idx2	29632059	92
FACEPICS.APKG	159	OPTION.pic2	29632151	58063
FACEPICS.APKG	160	ProductBook.idx2	29690214	152
FACEPICS.APKG	161	ProductBook.pic2	29690366	585301
FACEPICS.APKG	162	ProductBook_Board.idx2	30275667	36
FACEPICS.APKG	163	ProductBook_Board.pic2	30275703	21929
FACEPICS.APKG	164	ProductBook_List.idx2	30297632	16
FACEPICS.APKG	165	ProductBook_List.pic2	30297648	3689
FACEPICS.APKG	166	prod_INFO.idx2	30301337	244
FACEPICS.APKG	167	prod_INFO.pic2	30301581	296978
FACEPICS.APKG	168	profit_info.idx2	30598559	144
FACEPICS.APKG	169	profit_info.pic2	30598703	318464
FACEPICS.APKG	170	RetailMaCHINE.idx2	30917167	176
FACEPICS.APKG	171	RetailMaCHINE.pic2	30917343	104444
FACEPICS.APKG	172	SalaryAdjust.idx2	31021787	36
FACEPICS.APKG	173	SalaryAdjust.pic2	31021823	29276
FACEPICS.APKG	174	SaleMachINE-1.idx2	31051099	32
FACEPICS.APKG	175	SaleMachINE-1.pic2	31051131	34815
FACEPICS.APKG	176	SaleMachine.idx2	31085946	160
FACEPICS.APKG	177	SaleMachine.pic2	31086106	152966
FACEPICS.APKG	178	SaleMachineInfo.idx2	31239072	48
FACEPICS.APKG	179	SaleMachineInfo.pic2	31239120	55392
FACEPICS.APKG	180	SaleRetailMachine.idx2	31294512	108
FACEPICS.APKG	181	SaleRetailMachine.pic2	31294620	164361
FACEPICS.APKG	182	SAVE.idx2	31458981	160
FACEPICS.APKG	183	SAVE.pic2	31459141	277644
FACEPICS.APKG	184	save_prograss.idx2	31736785	28
FACEPICS.APKG	185	save_prograss.pic2	31736813	34197
FACEPICS.APKG	186	score_info.idx2	31771010	240
FACEPICS.APKG	187	score_info.pic2	31771250	355495
FACEPICS.APKG	188	scroll_list1.idx2	32126745	44
FACEPICS.APKG	189	scroll_list1.pic2	32126789	44497
FACEPICS.APKG	190	showpic2.exe	32171286	73728
FACEPICS.APKG	191	SmallMapBtn.idx2	32245014	52
FACEPICS.APKG	192	SmallMapBtn.pic2	32245066	11992
FACEPICS.APKG	193	sreport.idx2	32257058	44
FACEPICS.APKG	194	sreport.pic2	32257102	170190
FACEPICS.APKG	195	talk.idx2	32427292	56
FACEPICS.APKG	196	talk.pic2	32427348	174954
FACEPICS.APKG	197	taskhint.idx2	32602302	100
FACEPICS.APKG	198	taskhint.pic2	32602402	165535
FACEPICS.APKG	199	taskmenu.idx2	32767937	216
FACEPICS.APKG	200	taskmenu.pic2	32768153	316900
FACEPICS.APKG	201	taskplay.idx2	33085053	316
FACEPICS.APKG	202	taskplay.pic2	33085369	524286
FACEPICS.APKG	203	task_arrow.idx2	33609655	36
FACEPICS.APKG	204	task_arrow.pic2	33609691	8983
FACEPICS.APKG	205	ToBuildFIRM-1.idx2	33618674	8
FACEPICS.APKG	206	ToBuildFIRM-1.pic2	33618682	21720
FACEPICS.APKG	207	ToBuildFirm-MINE.idx2	33640402	108
FACEPICS.APKG	208	ToBuildFirm-MINE.pic2	33640510	146700
FACEPICS.APKG	209	ToBuilDFIRM.idx2	33787210	108
FACEPICS.APKG	210	ToBuilDFIRM.pic2	33787318	146408
FACEPICS.APKG	211	win_face.idx2	33933726	180
FACEPICS.APKG	212	win_face.pic2	33933906	532848
FONTS.APKG	0	12NS.ch1	12	255996
FONTS.APKG	1	12ns.fts	256008	8
FONTS.APKG	2	12ns.idx1	256016	256000
