字符串	类型	编码	出现次数	来源
小商場	中文	big5	94	data/txts.csv@L36 | stage/stage03.stg@seg681+0x4 | stage/stage03.stg@seg875+0x4 | stage/stage03.stg@seg976+0x4 | stage/stage04.stg@seg831+0x4 | stage/stage04.stg@seg94+0x4 ...
19	数值	big5	92	data/AI_style.csv@L11 | data/AI_style.csv@L21 | data/Machine_group.csv@L3 | data/Machine_type.csv@L100 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 ...
21	数值	big5	91	data/AI_style.csv@L13 | data/Machine_group.csv@L3 | data/Machine_type.csv@L10 | data/Machine_type.csv@L100 | data/Machine_type.csv@L104 | data/Machine_type.csv@L113 ...
-20	数值	big5	89	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L104 | data/Mur.csv@L106 | data/Mur.csv@L107 ...
28	数值	big5	86	data/AI_style.csv@L9 | data/Machine_group.csv@L13 | data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L107 | data/Machine_type.csv@L108 ...
鐵礦場	中文	big5	84	data/txts.csv@L38 | stage/stage02.stg@seg189+0x4 | stage/stage03.stg@seg1019+0x4 | stage/stage03.stg@seg1129+0x4 | stage/stage03.stg@seg1244+0x4 | stage/stage03.stg@seg1313+0x4 ...
1686	数值	big5	79	data/Machine_type.csv@L10 | data/Machine_type.csv@L11 | data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L114 | data/Machine_type.csv@L115 ...
1874	数值	big5	79	data/Machine_type.csv@L10 | data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L111 ...
2083	数值	big5	79	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 | data/Machine_type.csv@L127 ...
9999	数值	big5	79	data/Machine_type.csv@L100 | data/Machine_type.csv@L101 | data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 ...
1517	数值	big5	74	data/Machine_type.csv@L11 | data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L119 | data/Machine_type.csv@L12 | data/Machine_type.csv@L120 ...
-40	数值	big5	73	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L104 | data/Mur.csv@L106 | data/Mur.csv@L107 ...
24	数值	big5	73	data/AI_style.csv@L18 | data/Machine_group.csv@L12 | data/Machine_type.csv@L10 | data/Machine_type.csv@L121 | data/Machine_type.csv@L126 | data/Machine_type.csv@L129 ...
hi(J	ASCII	ascii	72	CEO.exe@RVA 25BB0 | CEO.exe@RVA 3AC0A | CEO.exe@RVA 3ACB0 | CEO.exe@RVA 3AD26 | CEO.exe@RVA 3AD46 | CEO.exe@RVA 3AD5C ...
-3	数值	big5	71	data/Machine_type.csv@L104 | data/Machine_type.csv@L109 | data/Machine_type.csv@L114 | data/Machine_type.csv@L119 | data/Machine_type.csv@L124 | data/Machine_type.csv@L129 ...
23	数值	big5	69	data/Machine_group.csv@L12 | data/Machine_type.csv@L106 | data/Machine_type.csv@L131 | data/Machine_type.csv@L132 | data/Machine_type.csv@L136 | data/Machine_type.csv@L146 ...
13	数值	big5	66	data/AI_style.csv@L15 | data/AI_style.csv@L6 | data/Machine_group.csv@L15 | data/Machine_group.csv@L17 | data/Machine_type.csv@L106 | data/Machine_type.csv@L115 ...
2000	数值	big5	66	data/Machine_type.csv@L10 | data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L116 | data/Machine_type.csv@L132 | data/Machine_type.csv@L133 ...
32	数值	big5	66	data/Machine_group.csv@L2 | data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L111 | data/Machine_type.csv@L116 | data/Machine_type.csv@L127 ...
木材場	中文	big5	66	data/txts.csv@L44 | stage/stage02.stg@seg219+0x4 | stage/stage03.stg@seg1152+0x4 | stage/stage03.stg@seg1295+0x4 | stage/stage03.stg@seg1379+0x4 | stage/stage03.stg@seg413+0x4 ...
22	数值	big5	64	data/AI_style.csv@L4 | data/Machine_group.csv@L12 | data/Machine_type.csv@L112 | data/Machine_type.csv@L117 | data/Machine_type.csv@L119 | data/Machine_type.csv@L124 ...
-60	数值	big5	63	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L106 | data/Mur.csv@L107 | data/Mur.csv@L108 ...
200	数值	big5	63	data/AI_style.csv@L14 | data/AI_style.csv@L18 | data/AI_style.csv@L5 | data/Machine_type.csv@L164 | data/Machine_type.csv@L202 | data/Machine_type.csv@L88 ...
大工廠	中文	big5	59	data/txts.csv@L38 | stage/stage02.stg@seg299+0x4 | stage/stage03.stg@seg771+0x4 | stage/stage03.stg@seg995+0x4 | stage/stage04.stg@seg1263+0x4 | stage/stage04.stg@seg372+0x4 ...
-10	数值	big5	58	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L22 | data/Mur.csv@L24 | data/Mur.csv@L29 ...
Y_^[	ASCII	ascii	58	CEO.exe@RVA 1160D | CEO.exe@RVA 137D4 | CEO.exe@RVA 1D659 | CEO.exe@RVA 1E112 | CEO.exe@RVA 1F40A | CEO.exe@RVA 24FE1 ...
-4	数值	big5	57	data/Machine_type.csv@L104 | data/Machine_type.csv@L109 | data/Machine_type.csv@L114 | data/Machine_type.csv@L119 | data/Machine_type.csv@L124 | data/Machine_type.csv@L139 ...
1980	数值	big5	54	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L111 | data/Machine_type.csv@L127 | data/Machine_type.csv@L128 | data/Machine_type.csv@L136 ...
36	数值	big5	54	data/Machine_group.csv@L16 | data/Machine_type.csv@L101 | data/Machine_type.csv@L106 | data/Machine_type.csv@L111 | data/Machine_type.csv@L128 | data/Machine_type.csv@L132 ...
11	数值	big5	53	data/AI_style.csv@L13 | data/Machine_group.csv@L13 | data/Machine_group.csv@L17 | data/Machine_type.csv@L111 | data/Machine_type.csv@L120 | data/Machine_type.csv@L125 ...
煤碳場	中文	big5	53	data/txts.csv@L41 | stage/stage02.stg@seg468+0x4 | stage/stage03.stg@seg1041+0x4 | stage/stage03.stg@seg1261+0x4 | stage/stage03.stg@seg917+0x4 | stage/stage04.stg@seg119+0x4 ...
2025	数值	big5	52	data/Machine_type.csv@L114 | data/Machine_type.csv@L115 | data/Machine_type.csv@L139 | data/Machine_type.csv@L140 | data/Machine_type.csv@L164 | data/Machine_type.csv@L165 ...
食品機	中文	big5	52	data/Machine_group.csv@L16 | data/Machine_type.csv@L302 | data/Machine_type.csv@L303 | data/Machine_type.csv@L304 | data/Machine_type.csv@L305 | data/Machine_type.csv@L306 ...
2010	数值	big5	51	data/Machine_type.csv@L11 | data/Machine_type.csv@L111 | data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L136 | data/Machine_type.csv@L142 ...
2020	数值	big5	51	data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L12 | data/Machine_type.csv@L121 | data/Machine_type.csv@L13 | data/Machine_type.csv@L137 ...
1990	数值	big5	49	data/Machine_type.csv@L106 | data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L131 | data/Machine_type.csv@L137 | data/Machine_type.csv@L138 ...
2030	数值	big5	49	data/Machine_type.csv@L10 | data/Machine_type.csv@L116 | data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L14 | data/Machine_type.csv@L141 ...
=,8K	ASCII	ascii	49	CEO.exe@RVA 4BBA8 | CEO.exe@RVA 4BE7A | CEO.exe@RVA 4BF2C | CEO.exe@RVA 4C1FE | CEO.exe@RVA 4C2B0 | CEO.exe@RVA 4C582 ...
小農場	中文	big5	48	data/txts.csv@L36 | stage/stage06.stg@seg1496+0x4 | stage/stage06.stg@seg2297+0x4 | stage/stage06.stg@seg2637+0x4 | stage/stage06.stg@seg2895+0x4 | stage/stage06.stg@seg3041+0x4 ...
UNUSE_OBJ2,	ASCII	ascii	47	Face/Bank.h@L3 | Face/EnemyFirmInfo.h@L3 | Face/GameSetting.h@L3 | Face/IO_rule.h@L3 | Face/Load.h@L3 | Face/MachineProduct.h@L2 ...
34	数值	big5	46	data/Machine_group.csv@L2 | data/Machine_type.csv@L118 | data/Machine_type.csv@L123 | data/Machine_type.csv@L148 | data/Machine_type.csv@L158 | data/Machine_type.csv@L168 ...
2040	数值	big5	45	data/Machine_type.csv@L101 | data/Machine_type.csv@L11 | data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L126 | data/Machine_type.csv@L142 ...
UNUSE_OBJ3,	ASCII	ascii	44	Face/Bank.h@L4 | Face/Dorm.h@L2 | Face/FirmBoard.h@L3 | Face/FirmLoadArea-1.h@L29 | Face/FirmMachineSell.h@L4 | Face/FirmMine.h@L4 ...
紡織機	中文	big5	44	data/Machine_group.csv@L5 | data/Machine_type.csv@L52 | data/Machine_type.csv@L53 | data/Machine_type.csv@L54 | data/Machine_type.csv@L55 | data/Machine_type.csv@L56 ...
1852	数值	big5	43	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 | data/Machine_type.csv@L127 ...
1499	数值	big5	42	data/Machine_type.csv@L10 | data/Machine_type.csv@L112 | data/Machine_type.csv@L113 | data/Machine_type.csv@L114 | data/Machine_type.csv@L115 | data/Machine_type.csv@L116 ...
1666	数值	big5	42	data/Machine_type.csv@L107 | data/Machine_type.csv@L108 | data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L111 | data/Machine_type.csv@L132 ...
38	数值	big5	42	data/Machine_group.csv@L17 | data/Machine_type.csv@L104 | data/Machine_type.csv@L129 | data/Machine_type.csv@L139 | data/Machine_type.csv@L17 | data/Machine_type.csv@L184 ...
UNUSE_OBJ4,	ASCII	ascii	42	Face/Bank.h@L5 | Face/EnemyFirmInfo.h@L5 | Face/ExitButton.h@L5 | Face/FirmBoard.h@L4 | Face/FirmDorm.h@L5 | Face/FirmLoadArea-1.h@L30 ...
加工機	中文	big5	42	data/Machine_group.csv@L17 | data/Machine_type.csv@L327 | data/Machine_type.csv@L328 | data/Machine_type.csv@L329 | data/Machine_type.csv@L330 | data/Machine_type.csv@L331 ...
合併廠	中文	big5	42	data/txts.csv@L35 | stage/stage01.stg@seg132+0x4 | stage/stage01.stg@seg2+0x4 | stage/stage01.stg@seg49+0x4 | stage/stage02.stg@seg509+0x4 | stage/stage03.stg@seg2+0x4 ...
重電機	中文	big5	42	data/Machine_group.csv@L9 | data/Machine_type.csv@L152 | data/Machine_type.csv@L153 | data/Machine_type.csv@L154 | data/Machine_type.csv@L155 | data/Machine_type.csv@L156 ...
電子機	中文	big5	42	data/Machine_group.csv@L8 | data/Machine_type.csv@L127 | data/Machine_type.csv@L128 | data/Machine_type.csv@L129 | data/Machine_type.csv@L130 | data/Machine_type.csv@L131 ...
70	数值	big5	41	data/AI_style.csv@L16 | data/Machine_group.csv@L11 | data/Machine_type.csv@L152 | data/Machine_type.csv@L18 | data/Machine_type.csv@L21 | data/Machine_type.csv@L24 ...
採礦機	中文	big5	41	data/Machine_group.csv@L4 | data/Machine_type.csv@L32 | data/Machine_type.csv@L33 | data/Machine_type.csv@L34 | data/Machine_type.csv@L35 | data/Machine_type.csv@L36 ...
UNUSE_OBJ1,	ASCII	ascii	40	Face/FirmLoadArea-1.h@L27 | Face/FirmMine.h@L2 | Face/GameSetting.h@L2 | Face/IO_rule.h@L2 | Face/Load.h@L2 | Face/NoMoney.h@L2 ...
UNUSE_OBJ5,	ASCII	ascii	40	Face/Bank.h@L6 | Face/Dorm.h@L4 | Face/EnemyFirmInfo.h@L6 | Face/FirmBoard.h@L5 | Face/FirmLoadArea-1.h@L31 | Face/FirmMine.h@L6 ...
26	数值	big5	39	data/Machine_group.csv@L12 | data/Machine_type.csv@L114 | data/Machine_type.csv@L119 | data/Machine_type.csv@L127 | data/Machine_type.csv@L131 | data/Machine_type.csv@L141 ...
27	数值	big5	39	data/AI_style.csv@L12 | data/Machine_group.csv@L12 | data/Machine_type.csv@L134 | data/Machine_type.csv@L157 | data/Machine_type.csv@L159 | data/Machine_type.csv@L161 ...
-80	数值	big5	38	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L107 | data/Mur.csv@L108 | data/Mur.csv@L22 ...
0012	数值	ascii	38	stage/stage04.stg@seg1673+0x0 | stage/stage06.stg@seg2051+0x0 | stage/stage06.stg@seg2936+0x0 | stage/stage06.stg@seg4014+0x0 | stage/stage06.stg@seg5009+0x0 | stage/stage08.stg@seg1045+0x0 ...
0013	数值	ascii	38	stage/stage06.stg@seg1635+0x0 | stage/stage06.stg@seg2025+0x0 | stage/stage06.stg@seg2392+0x0 | stage/stage06.stg@seg2919+0x0 | stage/stage06.stg@seg3997+0x0 | stage/stage06.stg@seg4985+0x0 ...
1950	数值	big5	38	data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L127 | data/Machine_type.csv@L128 | data/Machine_type.csv@L152 | data/Machine_type.csv@L153 ...
化工機	中文	big5	38	data/Machine_group.csv@L12 | data/Machine_type.csv@L207 | data/Machine_type.csv@L208 | data/Machine_type.csv@L209 | data/Machine_type.csv@L210 | data/Machine_type.csv@L211 ...
輪車機	中文	big5	38	data/Machine_group.csv@L14 | data/Machine_type.csv@L257 | data/Machine_type.csv@L258 | data/Machine_type.csv@L259 | data/Machine_type.csv@L260 | data/Machine_type.csv@L261 ...
1214	数值	big5	37	data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 | data/Machine_type.csv@L126 | data/Machine_type.csv@L14 ...
1349	数值	big5	37	data/Machine_type.csv@L11 | data/Machine_type.csv@L117 | data/Machine_type.csv@L118 | data/Machine_type.csv@L119 | data/Machine_type.csv@L12 | data/Machine_type.csv@L120 ...
1365	数值	big5	37	data/Machine_type.csv@L122 | data/Machine_type.csv@L123 | data/Machine_type.csv@L124 | data/Machine_type.csv@L125 | data/Machine_type.csv@L126 | data/Machine_type.csv@L14 ...
2315	数值	big5	37	data/Machine_type.csv@L127 | data/Machine_type.csv@L128 | data/Machine_type.csv@L129 | data/Machine_type.csv@L130 | data/Machine_type.csv@L131 | data/Machine_type.csv@L152 ...
45	数值	big5	37	data/Machine_group.csv@L16 | data/Machine_type.csv@L108 | data/Machine_type.csv@L113 | data/Machine_type.csv@L138 | data/Machine_type.csv@L148 | data/Machine_type.csv@L158 ...
UNUSE_OBJ6,	ASCII	ascii	37	Face/Bank.h@L7 | Face/CompanyInfo.h@L7 | Face/FirmBoard.h@L6 | Face/FirmDorm.h@L7 | Face/GameSetting.h@L7 | Face/IO_rule.h@L6 ...
中商場	中文	big5	37	data/txts.csv@L37 | stage/stage00.stg@seg2+0x4 | stage/stage02.stg@seg2+0x4 | stage/stage02.stg@seg748+0x4 | stage/stage03.stg@seg554+0x4 | stage/stage03.stg@seg559+0x4 ...
17	数值	big5	36	data/AI_style.csv@L19 | data/Machine_group.csv@L3 | data/Machine_type.csv@L122 | data/Machine_type.csv@L162 | data/Machine_type.csv@L172 | data/Machine_type.csv@L18 ...
33	数值	big5	36	data/Machine_group.csv@L2 | data/Machine_type.csv@L101 | data/Machine_type.csv@L104 | data/Machine_type.csv@L109 | data/Machine_type.csv@L131 | data/Machine_type.csv@L134 ...
43	数值	big5	36	data/Machine_group.csv@L17 | data/Machine_type.csv@L134 | data/Machine_type.csv@L153 | data/Machine_type.csv@L163 | data/Machine_type.csv@L179 | data/Machine_type.csv@L203 ...
90	数值	big5	36	data/AI_style.csv@L19 | data/AI_style.csv@L8 | data/Machine_group.csv@L10 | data/Machine_type.csv@L207 | data/Machine_type.csv@L32 | data/Machine_type.csv@L78 ...
中農場	中文	big5	36	data/txts.csv@L37 | stage/stage05.stg@seg266+0x4 | stage/stage06.stg@seg1705+0x4 | stage/stage06.stg@seg1942+0x4 | stage/stage06.stg@seg2113+0x4 | stage/stage06.stg@seg3247+0x4 ...
塑化機	中文	big5	36	data/Machine_group.csv@L7 | data/Machine_type.csv@L102 | data/Machine_type.csv@L103 | data/Machine_type.csv@L104 | data/Machine_type.csv@L105 | data/Machine_type.csv@L106 ...
待售地	中文	big5	35	CEO.exe@RVA A2928 | data/building.csv@L10 | data/building.csv@L11 | data/building.csv@L12 | data/building.csv@L13 | data/building.csv@L14 ...
矽礦場	中文	big5	35	data/txts.csv@L40 | stage/stage02.stg@seg63+0x4 | stage/stage03.stg@seg1079+0x4 | stage/stage04.stg@seg3+0x4 | stage/stage06.stg@seg1728+0x4 | stage/stage06.stg@seg2859+0x4 ...
-99	数值	big5	34	data/Mur.csv@L100 | data/Mur.csv@L101 | data/Mur.csv@L102 | data/Mur.csv@L108 | data/Mur.csv@L22 | data/Mur.csv@L24 ...
UNUSE_OBJ7,	ASCII	ascii	34	Face/Bank.h@L8 | Face/CompanyInfo.h@L8 | Face/EnemyFirmInfo.h@L8 | Face/GameSetting.h@L8 | Face/IO_rule.h@L7 | Face/ProductBook.h@L18 ...
木工機	中文	big5	34	data/Machine_group.csv@L6 | data/Machine_type.csv@L100 | data/Machine_type.csv@L101 | data/Machine_type.csv@L77 | data/Machine_type.csv@L78 | data/Machine_type.csv@L79 ...
農田機	中文	big5	34	data/Machine_group.csv@L3 | data/Machine_type.csv@L17 | data/Machine_type.csv@L18 | data/Machine_type.csv@L19 | data/Machine_type.csv@L20 | data/Machine_type.csv@L21 ...
120	数值	big5	33	data/AI_style.csv@L12 | data/Machine_type.csv@L12 | data/Machine_type.csv@L122 | data/Machine_type.csv@L15 | data/Machine_type.csv@L282 | data/Machine_type.csv@L3 ...
31	数值	big5	33	data/AI_style.csv@L5 | data/Machine_group.csv@L2 | data/Machine_type.csv@L129 | data/Machine_type.csv@L154 | data/Machine_type.csv@L156 | data/Machine_type.csv@L166 ...
39	数值	big5	33	data/Machine_group.csv@L16 | data/Machine_type.csv@L113 | data/Machine_type.csv@L118 | data/Machine_type.csv@L143 | data/Machine_type.csv@L153 | data/Machine_type.csv@L156 ...
化物場	中文	big5	33	data/txts.csv@L43 | stage/stage02.stg@seg489+0x4 | stage/stage03.stg@seg1449+0x4 | stage/stage04.stg@seg1690+0x4 | stage/stage04.stg@seg1839+0x4 | stage/stage04.stg@seg614+0x4 ...
工地	中文	big5	33	data/building.csv@L36 | data/building.csv@L37 | data/building.csv@L38 | data/building.csv@L39 | data/building.csv@L40 | data/building.csv@L41 ...
0014	数值	ascii	32	stage/stage06.stg@seg1611+0x0 | stage/stage06.stg@seg2000+0x0 | stage/stage06.stg@seg2895+0x0 | stage/stage06.stg@seg3807+0x0 | stage/stage06.stg@seg3953+0x0 | stage/stage06.stg@seg4962+0x0 ...
UNUSE_OBJ8,	ASCII	ascii	32	Face/Bank.h@L9 | Face/CompanyInfo.h@L9 | Face/FirmDorm.h@L9 | Face/GameSetting.h@L9 | Face/MyFirmInfo-Mine.h@L9 | Face/ProductBook.h@L21 ...
燒窯機	中文	big5	32	data/Machine_group.csv@L13 | data/Machine_type.csv@L232 | data/Machine_type.csv@L233 | data/Machine_type.csv@L234 | data/Machine_type.csv@L235 | data/Machine_type.csv@L236 ...
101	数值	big5	31	data/Machine_group.csv@L14 | data/Machine_type.csv@L103 | data/Machine_type.csv@L233 | data/Machine_type.csv@L327 | data/Machine_type.csv@L329 | data/Machine_type.csv@L331 ...
2015	数值	big5	31	data/Machine_type.csv@L119 | data/Machine_type.csv@L120 | data/Machine_type.csv@L144 | data/Machine_type.csv@L145 | data/Machine_type.csv@L169 | data/Machine_type.csv@L170 ...
69	数值	big5	31	data/Machine_group.csv@L11 | data/Machine_type.csv@L141 | data/Machine_type.csv@L71 | data/Stages.csv@L12 | data/building.csv@L5 | data/building.csv@L73 ...
畜牧機	中文	big5	31	data/Machine_group.csv@L2 | data/Machine_type.csv@L10 | data/Machine_type.csv@L11 | data/Machine_type.csv@L12 | data/Machine_type.csv@L13 | data/Machine_type.csv@L14 ...
0015	数值	ascii	30	stage/stage04.stg@seg914+0x0 | stage/stage06.stg@seg1578+0x0 | stage/stage06.stg@seg1983+0x0 | stage/stage06.stg@seg2368+0x0 | stage/stage06.stg@seg2710+0x0 | stage/stage06.stg@seg2878+0x0 ...
0017	数值	ascii	30	stage/stage04.stg@seg846+0x0 | stage/stage06.stg@seg1537+0x0 | stage/stage06.stg@seg1942+0x0 | stage/stage06.stg@seg2321+0x0 | stage/stage06.stg@seg2666+0x0 | stage/stage06.stg@seg2844+0x0 ...
1012	数值	big5	30	data/Machine_type.csv@L11 | data/Machine_type.csv@L12 | data/Machine_type.csv@L13 | data/Machine_type.csv@L222 | data/Machine_type.csv@L223 | data/Machine_type.csv@L224 ...
1125	数值	big5	30	data/Machine_type.csv@L10 | data/Machine_type.csv@L217 | data/Machine_type.csv@L218 | data/Machine_type.csv@L219 | data/Machine_type.csv@L220 | data/Machine_type.csv@L221 ...
1250	数值	big5	30	data/Machine_type.csv@L20 | data/Machine_type.csv@L21 | data/Machine_type.csv@L212 | data/Machine_type.csv@L213 | data/Machine_type.csv@L214 | data/Machine_type.csv@L215 ...
1389	数值	big5	30	data/Machine_type.csv@L17 | data/Machine_type.csv@L18 | data/Machine_type.csv@L19 | data/Machine_type.csv@L2 | data/Machine_type.csv@L207 | data/Machine_type.csv@L208 ...
41	数值	big5	30	data/Machine_group.csv@L16 | data/Machine_type.csv@L101 | data/Machine_type.csv@L106 | data/Machine_type.csv@L131 | data/Machine_type.csv@L133 | data/Machine_type.csv@L141 ...
48	数值	big5	30	data/Machine_group.csv@L16 | data/Machine_type.csv@L129 | data/Machine_type.csv@L158 | data/Machine_type.csv@L19 | data/Machine_type.csv@L198 | data/Machine_type.csv@L257 ...
54	数值	big5	30	data/Machine_group.csv@L5 | data/Machine_type.csv@L106 | data/Machine_type.csv@L153 | data/Machine_type.csv@L193 | data/Machine_type.csv@L257 | data/Machine_type.csv@L278 ...
910	数值	big5	30	data/Machine_type.csv@L14 | data/Machine_type.csv@L15 | data/Machine_type.csv@L16 | data/Machine_type.csv@L227 | data/Machine_type.csv@L228 | data/Machine_type.csv@L229 ...
油礦場	中文	big5	30	data/txts.csv@L42 | stage/stage02.stg@seg87+0x4 | stage/stage03.stg@seg946+0x4 | stage/stage04.stg@seg1206+0x4 | stage/stage04.stg@seg1673+0x4 | stage/stage04.stg@seg527+0x4 ...
2005	数值	big5	29	data/Machine_type.csv@L109 | data/Machine_type.csv@L110 | data/Machine_type.csv@L134 | data/Machine_type.csv@L135 | data/Machine_type.csv@L159 | data/Machine_type.csv@L160 ...
29	数值	big5	29	data/Machine_group.csv@L13 | data/Machine_type.csv@L136 | data/Machine_type.csv@L161 | data/Machine_type.csv@L31 | data/Machine_type.csv@L43 | data/Machine_type.csv@L92 ...
