文件	行号	类型	文本
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	100
AI_style.csv	11	数值	20
AI_style.csv	11	数值	50
AI_style.csv	11	数值	100
AI_style.csv	11	数值	180
AI_style.csv	11	数值	190
AI_style.csv	12	数值	10
AI_style.csv	12	数值	27
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	100
AI_style.csv	12	数值	50
AI_style.csv	12	数值	50
AI_style.csv	12	数值	100
AI_style.csv	12	数值	120
AI_style.csv	12	数值	140
AI_style.csv	13	数值	11
AI_style.csv	13	数值	21
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	100
AI_style.csv	13	数值	50
AI_style.csv	13	数值	50
AI_style.csv	13	数值	100
AI_style.csv	13	数值	160
AI_style.csv	13	数值	150
AI_style.csv	14	数值	12
AI_style.csv	14	数值	15
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	100
AI_style.csv	14	数值	50
AI_style.csv	14	数值	100
AI_style.csv	14	数值	130
AI_style.csv	14	数值	200
AI_style.csv	15	数值	13
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	100
AI_style.csv	15	数值	50
AI_style.csv	15	数值	50
AI_style.csv	15	数值	100
AI_style.csv	15	数值	150
AI_style.csv	15	数值	150
AI_style.csv	16	数值	14
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	100
AI_style.csv	16	数值	70
AI_style.csv	16	数值	50
AI_style.csv	16	数值	100
AI_style.csv	16	数值	150
AI_style.csv	16	数值	130
AI_style.csv	17	数值	15
AI_style.csv	17	数值	15
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	100
AI_style.csv	17	数值	60
AI_style.csv	17	数值	50
AI_style.csv	17	数值	100
AI_style.csv	17	数值	150
AI_style.csv	17	数值	140
AI_style.csv	18	数值	16
AI_style.csv	18	数值	24
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	100
AI_style.csv	18	数值	80
AI_style.csv	18	数值	50
AI_style.csv	18	数值	100
AI_style.csv	18	数值	200
AI_style.csv	18	数值	130
AI_style.csv	19	数值	17
AI_style.csv	19	数值	18
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	100
AI_style.csv	19	数值	90
AI_style.csv	19	数值	50
AI_style.csv	19	数值	100
AI_style.csv	19	数值	140
AI_style.csv	19	数值	110
AI_style.csv	20	数值	18
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	100
AI_style.csv	20	数值	50
AI_style.csv	20	数值	100
AI_style.csv	20	数值	190
AI_style.csv	20	数值	110
AI_style.csv	21	数值	19
AI_style.csv	21	数值	12
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	10
AI_style.csv	21	数值	50
AI_style.csv	21	数值	100
AI_style.csv	21	数值	100
AI_style.csv	21	数值	180
Citys.csv	1	中文	城市名稱
Citys.csv	1	中文	人口密度
Citys.csv	1	中文	土地價格
Citys.csv	1	中文	平均工資
Citys.csv	1	中文	消費能力
Citys.csv	2	中文	東京
Citys.csv	3	中文	台北
Citys.csv	4	中文	新加坡
Citys.csv	5	中文	孟買
Citys.csv	6	中文	紐約
Citys.csv	7	中文	北京
Citys.csv	8	中文	上海
Citys.csv	9	中文	聖保羅
Citys.csv	10	中文	倫敦
Citys.csv	11	中文	雪梨
Citys.csv	12	中文	底特律
Citys.csv	13	中文	雅典
Citys.csv	14	中文	舊金山
Citys.csv	15	中文	洛杉磯
Citys.csv	16	中文	蘇黎世
Citys.csv	17	中文	墨斯科
Citys.csv	18	中文	邁阿密
Citys.csv	19	中文	普吉島
Citys.csv	20	中文	維也納
Citys.csv	21	中文	聖地牙哥
Machine_group.csv	1	中文	編號
Machine_group.csv	1	中文	類別
Machine_group.csv	1	中文	機器名稱
Machine_group.csv	1	中文	程序編號1
Machine_group.csv	1	中文	程序編號2
Machine_group.csv	1	中文	程序編號3
Machine_group.csv	1	中文	程序編號4
Machine_group.csv	1	中文	程序編號5
Machine_group.csv	1	中文	程序編號6
Machine_group.csv	1	中文	程序編號7
Machine_group.csv	1	中文	程序編號8
Machine_group.csv	1	中文	程序編號9
Machine_group.csv	1	中文	程序編號10
Machine_group.csv	1	中文	程序編號11
Machine_group.csv	1	中文	程序編號12
Machine_group.csv	1	中文	程序編號13
Machine_group.csv	1	中文	程序編號14
Machine_group.csv	1	中文	程序編號15
Machine_group.csv	1	中文	程序編號16
Machine_group.csv	1	中文	程序編號17
Machine_group.csv	1	中文	程序編號18
Machine_group.csv	1	中文	程序編號19
Machine_group.csv	1	中文	程序編號20
Machine_group.csv	1	中文	購買分類編號
Machine_group.csv	2	中文	畜牧類
Machine_group.csv	2	中文	畜牧機
Machine_group.csv	2	数值	31
Machine_group.csv	2	数值	32
Machine_group.csv	2	数值	33
Machine_group.csv	2	数值	34
Machine_group.csv	2	数值	35
Machine_group.csv	2	数值	112
Machine_group.csv	2	数值	113
Machine_group.csv	2	数值	114
Machine_group.csv	2	数值	115
Machine_group.csv	2	数值	116
Machine_group.csv	3	中文	農業類
Machine_group.csv	3	中文	農田機
Machine_group.csv	3	数值	16
Machine_group.csv	3	数值	17
Machine_group.csv	3	数值	18
Machine_group.csv	3	数值	19
Machine_group.csv	3	数值	20
Machine_group.csv	3	数值	21
Machine_group.csv	3	数值	106
Machine_group.csv	3	数值	107
Machine_group.csv	3	数值	108
Machine_group.csv	3	数值	109
Machine_group.csv	3	数值	110
Machine_group.csv	3	数值	111
Machine_group.csv	4	中文	礦業類
Machine_group.csv	4	中文	採礦機
Machine_group.csv	5	中文	紡纖類
Machine_group.csv	5	中文	紡織機
Machine_group.csv	5	数值	51
Machine_group.csv	5	数值	52
Machine_group.csv	5	数值	53
Machine_group.csv	5	数值	54
Machine_group.csv	5	数值	55
Machine_group.csv	5	数值	56
Machine_group.csv	5	数值	57
Machine_group.csv	5	数值	58
Machine_group.csv	5	数值	59
Machine_group.csv	6	中文	木工類
Machine_group.csv	6	中文	木工機
Machine_group.csv	6	数值	64
Machine_group.csv	6	数值	65
Machine_group.csv	6	数值	66
Machine_group.csv	6	数值	67
Machine_group.csv	7	中文	塑膠類
Machine_group.csv	7	中文	塑化機
Machine_group.csv	7	数值	92
Machine_group.csv	7	数值	93
Machine_group.csv	7	数值	94
Machine_group.csv	7	数值	95
Machine_group.csv	7	数值	96
Machine_group.csv	8	中文	電子類
Machine_group.csv	8	中文	電子機
Machine_group.csv	8	数值	79
Machine_group.csv	8	数值	80
Machine_group.csv	8	数值	81
Machine_group.csv	8	数值	82
Machine_group.csv	8	数值	83
Machine_group.csv	8	数值	84
Machine_group.csv	8	数值	85
Machine_group.csv	8	数值	86
Machine_group.csv	9	中文	電機類
Machine_group.csv	9	中文	重電機
Machine_group.csv	9	数值	71
Machine_group.csv	9	数值	72
Machine_group.csv	9	数值	73
Machine_group.csv	9	数值	74
Machine_group.csv	9	数值	75
Machine_group.csv	9	数值	76
Machine_group.csv	9	数值	77
Machine_group.csv	9	数值	78
Machine_group.csv	10	中文	電腦類
Machine_group.csv	10	中文	電腦機
Machine_group.csv	10	数值	87
Machine_group.csv	10	数值	88
Machine_group.csv	10	数值	89
Machine_group.csv	10	数值	90
Machine_group.csv	10	数值	91
Machine_group.csv	11	中文	IC類
Machine_group.csv	11	中文	晶圓機
Machine_group.csv	11	数值	68
Machine_group.csv	11	数值	69
Machine_group.csv	11	数值	70
Machine_group.csv	12	数值	10
Machine_group.csv	12	中文	化學類
Machine_group.csv	12	中文	化工機
Machine_group.csv	12	数值	22
Machine_group.csv	12	数值	23
Machine_group.csv	12	数值	24
Machine_group.csv	12	数值	25
Machine_group.csv	12	数值	26
Machine_group.csv	12	数值	27
Machine_group.csv	13	数值	11
Machine_group.csv	13	中文	玻璃陶瓷類
Machine_group.csv	13	中文	燒窯機
Machine_group.csv	13	数值	28
Machine_group.csv	13	数值	29
Machine_group.csv	13	数值	30
Machine_group.csv	14	数值	12
Machine_group.csv	14	中文	車輛類
Machine_group.csv	14	中文	輪車機
Machine_group.csv	14	数值	100
Machine_group.csv	14	数值	101
Machine_group.csv	14	数值	102
Machine_group.csv	14	数值	103
Machine_group.csv	14	数值	104
Machine_group.csv	14	数值	105
Machine_group.csv	15	数值	13
Machine_group.csv	15	中文	書籍類
Machine_group.csv	15	中文	印刷機
Machine_group.csv	15	数值	60
Machine_group.csv	15	数值	61
Machine_group.csv	15	数值	62
Machine_group.csv	15	数值	63
Machine_group.csv	16	数值	14
Machine_group.csv	16	中文	食品類
Machine_group.csv	16	中文	食品機
Machine_group.csv	16	数值	36
Machine_group.csv	16	数值	37
Machine_group.csv	16	数值	39
Machine_group.csv	16	数值	40
Machine_group.csv	16	数值	41
Machine_group.csv	16	数值	42
Machine_group.csv	16	数值	44
Machine_group.csv	16	数值	45
Machine_group.csv	16	数值	46
Machine_group.csv	16	数值	47
Machine_group.csv	16	数值	48
Machine_group.csv	16	数值	49
Machine_group.csv	16	数值	50
Machine_group.csv	17	数值	15
Machine_group.csv	17	中文	原料加工類
Machine_group.csv	17	中文	加工機
Machine_group.csv	17	数值	10
Machine_group.csv	17	数值	11
Machine_group.csv	17	数值	12
Machine_group.csv	17	数值	13
Machine_group.csv	17	数值	14
Machine_group.csv	17	数值	15
Machine_group.csv	17	数值	38
Machine_group.csv	17	数值	43
Machine_group.csv	18	数值	16
Machine_group.csv	18	中文	精工處理類
Machine_group.csv	18	中文	精工機
Machine_group.csv	18	数值	97
Machine_group.csv	18	数值	98
Machine_group.csv	18	数值	99
Machine_group.csv	18	数值	117
Machine_group.csv	18	数值	118
Machine_group.csv	18	数值	119
Machine_type.csv	1	中文	物種編號
Machine_type.csv	1	中文	機器名稱
Machine_type.csv	1	中文	停工圖
Machine_type.csv	1	中文	運轉圖
Machine_type.csv	1	中文	起始年代
Machine_type.csv	1	中文	結束年代
Machine_type.csv	1	中文	管理人數
Machine_type.csv	1	中文	工人數
Machine_type.csv	1	中文	管操1X
Machine_type.csv	1	中文	管操1Y
Machine_type.csv	1	中文	管操1時間
Machine_type.csv	1	中文	管操2X
Machine_type.csv	1	中文	管操2Y
Machine_type.csv	1	中文	管操2時間
Machine_type.csv	1	中文	管操3X
Machine_type.csv	1	中文	管操3Y
Machine_type.csv	1	中文	管操3時間
Machine_type.csv	1	中文	管操4X
Machine_type.csv	1	中文	管操4Y
Machine_type.csv	1	中文	管操4時間
Machine_type.csv	1	中文	工操1X
Machine_type.csv	1	中文	工操1Y
Machine_type.csv	1	中文	工操1時間
Machine_type.csv	1	中文	工操2X
Machine_type.csv	1	中文	工操2Y
Machine_type.csv	1	中文	工操2時間
Machine_type.csv	1	中文	工操3X
Machine_type.csv	1	中文	工操3Y
Machine_type.csv	1	中文	工操3時間
Machine_type.csv	1	中文	工操4X
Machine_type.csv	1	中文	工操4Y
Machine_type.csv	1	中文	工操4時間
Machine_type.csv	1	中文	工操5X
Machine_type.csv	1	中文	工操5Y
Machine_type.csv	1	中文	工操5時間
Machine_type.csv	1	中文	工操6X
Machine_type.csv	1	中文	工操6Y
Machine_type.csv	1	中文	工操6時間
Machine_type.csv	1	中文	工操7X
Machine_type.csv	1	中文	工操7Y
Machine_type.csv	1	中文	工操7時間
Machine_type.csv	1	中文	工操8X
Machine_type.csv	1	中文	工操8Y
Machine_type.csv	1	中文	工操8時間
Machine_type.csv	1	中文	入口X
Machine_type.csv	1	中文	入口Y
Machine_type.csv	1	中文	出口X
Machine_type.csv	1	中文	出口Y
Machine_type.csv	1	中文	產品(機器)系列
Machine_type.csv	1	中文	產品1難度
Machine_type.csv	1	中文	產品2難度
Machine_type.csv	1	中文	產品3難度
Machine_type.csv	1	中文	產品4難度
Machine_type.csv	1	中文	產品5難度
Machine_type.csv	1	中文	產品6難度
Machine_type.csv	1	中文	產品7難度
Machine_type.csv	1	中文	產品8難度
Machine_type.csv	1	中文	產品9難度
Machine_type.csv	1	中文	產品10難度
Machine_type.csv	1	中文	產品11難度
Machine_type.csv	1	中文	產品12難度
Machine_type.csv	1	中文	產品13難度
Machine_type.csv	1	中文	產品14難度
Machine_type.csv	1	中文	產品15難度
Machine_type.csv	1	中文	產品16難度
